ORF	H2O2 10m 	H2O2 20m 	H2O2 30m 	H2O2 40m	H2O2 50m 	H2O2 60m 	H2O2 80m 	H2O2 100m 	H2O2 120m 	H2O2 160m 
YER101C	0.23	0.34	0.85	0.41	0.25	0.21	0.15	0.16	0.1	0.14
YER102W	-0.84	-1.69	-1.51	-1.02	-0.79	-0.62	-0.4	-0.43	-0.06	-0.01
YER103W	0.41	2.25	2.92	-	0.77	0.41	-0.62	-0.67	-0.34	-0.01
YER104W	-3.06	-0.94	-0.64	-0.04	-0.54	-0.15	-0.09	-0.18	-0.23	-0.14
YER105C	-0.81	0.42	-	-0.32	-0.51	-0.3	-0.14	-0.23	-0.32	-0.3
YER106W	-2.25	-0.62	-0.94	0.3	-0.38	-0.09	-0.2	-0.25	-0.92	0.23
YER107C	-1.18	0.08	-0.79	-0.67	-0.4	-0.29	-0.32	-0.43	-0.42	-0.32
YER109C	-0.45	-0.38	-0.42	-0.89	-0.47	-0.25	-0.25	-0.3	-0.3	-0.29
YER110C	-1.43	-1.6	-2.94	-1.27	-0.62	-0.69	-0.27	-0.38	-0.47	-0.32
YER111C	0.34	0.56	0.69	0.57	0.16	0.08	-0.06	0.04	0.04	-0.38
YER112W	0.88	0.37	0.66	1.33	0.03	-0.04	-0.56	-0.43	-0.15	-0.6
YER113C	0.55	-0.09	0.55	0.48	0.06	-0.04	-0.2	-0.38	-	-0.49
YER114C	-0.29	-1.32	-0.6	0.03	-0.42	-0.22	-0.74	-0.51	-0.51	-0.76
YER115C	1.51	-0.64	0.01	-0.25	-0.2	-0.18	-0.62	-0.32	-0.54	-0.79
YER116C	0.03	-1.56	-0.42	-	0.07	0.12	-0.43	-0.32	-0.36	-0.62
YER117W	0.32	-1.06	-0.74	-0.92	-0.6	-0.4	-0.58	-0.58	-0.04	-0.43
YER118C	-0.71	-1.25	-0.79	-1.64	-0.17	-0.07	-0.36	-0.34	-0.27	-0.81
YER119C	1.74	-0.23	1.74	0.49	0.37	0.87	0.1	-0.12	0.2	-0.29
YER119C-A	-0.1	0.12	-0.42	-	-0.54	-0.97	-0.32	-0.2	-0.42	-0.49
YER120W	-0.22	-0.89	-0.29	0.11	-0.54	-0.54	-0.86	-0.51	-0.58	-0.81
YER121W	0.49	-	1.14	0.51	0.37	0.58	0.01	-0.17	-0.03	-0.56
YER122C	-0.09	-0.45	-0.12	-0.09	0.1	-0.01	-0.34	-0.4	-0.4	-0.51
YER123W	0.52	0.24	0.38	0.85	0.41	0.19	-0.12	-0.29	-0.12	-0.32
YER124C	0.16	0.16	0.23	-0.2	-0.51	-0.84	-1.69	-1.36	-0.67	-0.94
YER125W	0.48	0.5	0.9	0.1	0.51	0.56	0.01	-0.06	-0.04	-0.22
YER126C	-0.74	-0.58	-0.58	0.29	-0.4	-0.17	-0.29	-0.3	-0.27	-0.64
YER127W	-1.69	-2.47	-1.4	-0.34	-0.38	-0.17	-0.42	-0.3	-0.22	-0.6
YER128W	0.04	-0.09	0.18	-0.18	0.65	0.32	-0.2	-0.17	-0.3	-0.47
YER129W	-0.22	-0.58	0.1	-0.18	-	-0.09	-0.58	-0.49	-0.38	-0.47
YER130C	-0.04	-0.22	1.16	-0.2	0.79	0.04	-0.81	-0.69	-0.86	-0.18
YER131W	-0.18	-1.47	-0.89	-0.89	-0.49	-0.2	-0.43	-0.22	0.07	-0.29
YER132C	0.42	-0.04	-0.45	0.26	0.24	-	-0.53	-0.39	-0.45	-0.67
YER133W	0.63	0.5	0.85	1.28	0.18	0.08	-0.27	-0.29	-0.09	-0.51
YER134C	0.99	0.02	0.57	0.23	0.39	0.15	-0.3	-0.28	-0.25	-0.57
YER135C	0.34	1.2	-0.6	0.19	0.01	-	0.37	-0.32	0.46	0.65
YER136W	0.25	0.81	0.8	2.17	0.46	0.2	0.34	-0.27	0.16	0.3
YER137C	-0.16	0.07	-0.31	0.33	0.01	0.25	0.13	-0.15	-0.03	-0.05
YER138C	0.3	0.18	0.27	0.88	0.29	0.38	0.61	-0.01	0.44	0.33
YER139C	0.69	1.15	0.82	1.56	0.23	0.45	0.58	-0.32	0.42	0.48
YER140W	-0.36	-0.56	-0.84	-	-0.54	-0.18	0.11	-0.69	0.1	0.06
YER141W	0.9	1.7	1.03	0.51	0.5	0.43	0.67	-0.32	0.57	0.64
YER142C	1.28	2.3	2.2	2.19	1.34	1	0.8	-0.07	0.46	0.55
YER143W	0.99	2.04	1.46	0.99	0.5	0.45	0.68	-0.12	0.32	0.45
YER144C	-0.39	-0.09	-0.18	0.14	0.31	0.13	0.18	0.27	0.14	0.22
YER145C	0.31	0.49	0.1	-0.09	-0.42	-0.17	-0.29	-0.94	-0.56	-0.64
YER146W	-0.54	-0.94	-0.51	-0.69	-0.81	-0.09	-0.1	-0.43	-0.06	-0.1
YER147C	-0.06	-0.12	0.11	-0.17	-0.94	-0.01	0.18	-0.62	-0.04	0.04
YER148W	0.55	-0.04	-0.1	-0.54	-0.2	-0.25	-0.01	-0.36	-0.15	0.12
YER149C	-0.43	-0.47	-0.76	-0.54	-0.06	0.08	-0.06	-0.58	-	0.21
YER150W	0.38	1.08	2.07	0.43	1.98	1.77	0.44	0.3	0.25	1.24
YER151C	-0.4	0.12	-0.64	-0.17	-0.09	-0.03	-0.14	-0.51	-0.14	0.16
YER152C	0.45	0.39	-	-0.56	-0.2	0.04	0.03	-0.03	0.37	0.5
YER153C	-0.21	-0.8	-1.36	2.32	-0.56	-0.45	0.01	-0.07	-0.12	0.06
YER154W	0.11	-0.22	0.37	-0.56	0.1	-0.25	-0.01	-0.01	0.03	0.3
YER155C	0.12	0.12	0.44	0.45	-0.04	0.02	0.03	-0.11	0.07	0.04
YER156C	-0.32	-1.15	-0.79	-1.69	-0.03	-0.69	-0.38	-0.58	-0.54	-0.2
YER157W	-0.17	0.4	0.14	0.19	-0.4	-0.29	-0.1	-0.64	-0.15	0.07
YER158C	0.14	0.31	0.51	-0.1	0.89	0.7	0.24	-0.18	0.06	0.46
YER159C	-0.58	-0.94	-0.47	-0.32	-0.36	-0.12	0.43	0.49	0.34	0.21
YER160C	0.17	0.15	0.03	0.65	0.26	0.45	0.39	0.38	0.31	0.23
YER161C	0.06	-0.2	0.19	-	-0.18	-0.51	-0.22	0.19	-0.03	-0.09
YER162C	0.1	-0.69	-0.18	2.94	0.24	0.21	0.15	0.42	-0.15	0.28
YER163C	-0.32	-0.34	0.3	-	0.37	1.12	0.39	0.54	0.58	0.33
YER164W	-0.47	-0.4	-0.69	-	-0.27	-0.27	-0.09	0.26	-0.14	0.01
YER165W	-0.38	-0.67	-0.92	-	-0.89	-0.71	-0.07	0.2	0.04	0.03
YER166W	-0.83	-0.62	-0.03	-0.74	0.24	0.19	0.03	-0.03	-0.04	-0.54
YER167W	-0.62	-0.64	-0.38	-	-0.34	-0.56	-0.1	0.32	-0.15	0.24
YER168C	-1.12	-0.51	-0.38	3.64	-0.47	-0.25	-0.17	0.26	-0.1	-0.04
YER169W	-0.27	-0.18	-0.45	-0.22	-	0.16	0.19	0.51	0.15	0.4
YER170W	-0.32	-0.3	0.63	0.46	0.5	0.14	0.04	0.38	0.07	0.19
YER171W	-0.69	-0.62	-0.71	-0.17	-0.03	-0.32	-0.07	0.44	-	0.04
YER172C	-0.13	0.2	0.25	0.14	-0.04	0.21	0.09	0.27	-0.02	0.1
YER173W	-0.71	-0.29	-0.76	0.1	-0.49	-0.3	-0.14	0.36	-0.22	-0.07
YER174C	0.3	-0.74	-0.27	0.3	0.2	-0.09	-0.01	0.33	-0.15	0.08
YER175C	1.09	1.47	2.11	0.2	1.24	1.07	0.62	0.69	0.01	0.44
YER176W	-0.06	-0.4	-0.29	0.03	-0.22	-0.56	-0.51	0.01	-0.25	-0.25
YER177W	-0.58	-0.32	-	-	0.06	0.16	0.06	0.33	-	0.38
YER178W	-0.2	0.14	0.26	-0.23	0.49	0.32	-0.06	0.12	-0.32	-0.15
YER179W	0.4	0.15	1.46	0.14	0.62	0.49	0.62	0.91	0.63	0.71
YER180C	-1.03	-0.17	-0.56	-0.36	-0.04	-0.34	-0.45	-0.09	-	-0.2
YER181C	-0.22	-5.64	-0.6	-0.4	-0.64	-0.29	0.61	0.77	0.08	0.5
YER182W	0.54	0.48	0.83	0.64	1	0.37	0.1	0.31	-	0.29
YER183C	0.2	-1	-0.09	0.21	0.16	0.59	0.01	0.39	0.28	-0.27
YER184C	0.78	0.04	0.38	0.25	0.14	-	0.2	-0.18	-0.38	-0.07
YER185W	-0.07	-0.42	0.61	0.4	-0.03	-0.12	0.2	0.03	0.34	0.04
YER186C	-0.81	-	0.56	-	-0.45	-0.42	-0.09	-0.56	-0.12	0.06
YER187W	-0.43	-0.81	-0.79	0.69	-0.49	0.19	-0.32	0.06	-0.04	0.15
YER188W	-0.38	-1.69	-0.34	-	-0.4	-0.62	-0.4	-0.58	-0.29	0.06
YER189W	-0.15	0.08	-0.64	0.16	-0.32	-0.38	0.14	0.31	0.34	0.31
YER190W	-0.54	-0.51	-0.1	-0.1	-0.34	-0.47	0.12	0.04	0.2	0.2
YFL001W	-0.59	-0.68	-0.48	1.02	-0.16	-0.31	-0.35	-0.08	-0.4	-0.39
YFL002C	-1.03	-1.56	-0.54	-0.03	-0.58	-0.36	-0.34	-0.56	-0.54	-0.38
YFL003C	-0.47	-0.49	0.64	-0.29	-0.58	-0.17	-0.27	-0.4	-0.29	0.11
YFL004W	-0.51	-1.03	-1.36	-0.6	-0.36	-0.51	-0.43	-0.47	-0.58	-0.56
YFL005W	-0.45	0.31	0.31	-0.47	0.03	0.11	-0.1	-0.51	-0.06	-0.04
YFL006W	-0.07	-0.62	0.36	0.03	0.53	0.39	0.3	0.12	-0.25	-
YFL007W	0.55	1.47	0.68	0.52	0.12	-0.02	-0.28	0.21	-0.21	0.01
YFL008W	-0.69	-0.43	-0.38	-0.1	-0.27	-0.34	-0.27	-0.47	-0.45	-0.4
YFL009W	-0.67	0.32	1.62	-0.18	-0.03	-0.04	-0.18	-0.32	-0.25	-0.2
YFL010C	0.04	-0.29	0.36	-0.15	-0.67	-1.32	0.1	0.08	-0.22	-0.01
YFL011W	-1.47	-0.81	-2.18	-0.01	-0.1	-0.17	-0.23	-0.27	-0.34	-0.32
YFL012W	-0.94	0.67	-0.34	0.91	-0.89	0.46	-0.15	0.16	0.2	0.61
YFL013C	-0.32	-0.3	-0.2	-0.34	-	-0.56	-0.32	-0.29	-0.67	-0.49
YFL013W-A	0.82	0.07	0.41	-0.38	-0.03	0.07	-0.27	-0.47	-0.36	-0.58
YFL014W	0.94	4.82	6.3	5.44	5.62	5.2	3.62	3.12	2.9	2.8
YFL015C	-0.07	0.3	-0.03	0.74	0.7	0.41	-0.15	0.08	-0.04	-0.49
YFL016C	1.77	1.07	1.57	1.06	0.65	0.4	-0.2	-0.22	-0.23	-0.42
YFL017C	-0.29	-0.51	-0.3	-0.34	-0.49	-0.09	-0.51	-0.43	-0.29	-0.51
YFL018C	0.78	0.2	-	0.61	0.77	0.31	-0.04	-0.18	-0.17	-0.27
YFL019C	0.17	0.58	0.9	1.09	0.41	0.14	-0.08	-0.21	0.23	-0.18
YFL020C	0.7	0.43	0.7	0.24	0.4	0.58	-	-0.1	0.07	-0.34
YFL021W	0.2	0.37	0.19	0.73	-0.06	-	-0.38	-0.09	-	-0.36
YFL022C	0.93	-0.3	-	-0.64	-0.38	-0.14	-0.71	-0.42	-0.54	-0.92
YFL023W	-1.79	-2	-1.29	-0.79	-0.43	-0.4	-0.45	-0.43	-0.56	-0.84
YFL024C	-0.38	-0.41	-0.23	-0.21	-0.09	-0.06	-0.11	-0.25	-0.2	-0.06
YFL025C	-	-0.1	0.38	0.06	-0.01	-	-0.74	-1.51	-	2.58
YFL026W	-0.64	-0.62	0.03	0.45	0.08	-0.2	-0.62	-0.43	-0.38	-0.94
YFL027C	-0.23	-0.69	0.14	-0.15	0.48	0.03	-0.69	-0.67	-0.58	-0.81
YFL028C	0.67	0.52	0.07	0.25	0.5	0.29	-0.27	-0.32	-0.18	-0.43
YFL029C	0.65	0.52	1.19	0.21	0.37	0.44	-0.57	-0.27	-0.45	-0.79
YFL030W	0.88	0.38	-0.15	0.66	0.31	0.84	0.48	0.61	0.44	0.37
YFL031W	0.61	-0.29	0.93	0.58	0.31	-0.43	-1.15	-0.76	-1.03	-1.25
YFL032W	0.83	-0.22	0.07	-	-0.06	-0.45	-1.03	-0.74	-0.92	-1.4
YFL033C	0.3	-	-	0.38	0.34	0.18	-0.49	-0.15	-0.52	-0.69
YFL034W	0.06	-0.74	-	-	-0.14	-0.14	-0.71	-0.32	-0.49	-0.92
YFL036W	0.54	0.38	0.63	0.03	0.51	0.24	-0.14	0.07	-0.07	-0.38
YFL037W	-	-	-	-0.23	-3.18	-	-	-	-	-
YFL038C	0.03	0.44	0.33	0.37	-0.04	0.46	0.43	-0.14	0.57	0.55
YFL039C	-0.01	-0.42	-0.09	0.43	-0.01	-	-0.09	-0.32	0.1	0.07
YFL040W	-0.07	0.81	-1.29	-0.38	0.41	0.5	0.75	-0.62	0.71	0.08
YFL041W	0.36	0.24	0.76	2.07	0.4	0.33	0.51	0.12	0.37	0.26
YFL042C	0.75	1.84	1.39	0.59	0.84	0.97	0.8	-0.14	0.44	0.55
YFL043C	0.15	-	0.72	0.5	1.18	0.86	0.8	0.26	0.3	0.44
YFL044C	0.33	1.33	0.1	0.32	0.08	0.94	0.49	-0.32	0.11	0.49
YFL045C	-0.27	-0.4	-1.03	0.23	-0.92	-0.3	-0.01	-0.34	0.07	0.21
YFL046W	0.23	0.87	0.32	0.5	-0.18	-	0.36	-0.47	0.33	0.29
YFL047W	-0.01	-	0.25	0.58	-0.06	-0.03	-0.12	-0.38	-0.22	-0.01
YFL048C	-0.47	0.37	0.34	0.28	-0.01	0.19	0.41	-0.42	0.24	0.26
YFL049W	-	-1.09	-	0.39	-1.22	-	-	-	-	-
YFL050C	-0.82	0.61	-1.57	-0.86	0.14	0.6	0.07	-0.13	0.05	0.12
YFL051C	0.07	0.36	-	0.2	0.03	0.5	0.08	0.26	0.38	0.52
YFL052W	-0.42	0.94	-2.06	-0.42	-0.45	1.14	0.6	0.08	0.73	0.81
YFL053W	-0.47	0.71	-	-0.27	-0.03	0.25	0.04	0.01	0.12	0.49
YFL054C	0.9	1	0.52	-0.2	0.7	2.62	0.92	0.25	0.88	0.89
YFL055W	-0.23	0.04	-0.6	-0.03	-	0.9	0.29	0.39	0.28	0.26
YFL056C	2.79	2.63	2.38	-	2.04	2.88	1.94	1.45	1.85	1.98
YFL057C	1.85	1.8	3.48	-0.1	1.32	1.52	0.79	0.78	0.57	0.64
YFL058W	0.41	1.53	-0.03	-0.58	0.76	1.76	1.26	0.64	1.06	0.88
YFL059W	0.39	0.82	0.44	-0.97	0.77	1.34	0.74	0.42	0.58	0.44
YFL060C	0.26	1.38	0.23	-1.4	0.25	0.66	0.6	0.06	0.46	0.49
YFL061W	2.1	-	-	-0.38	-	1.58	-	-	-	-
YFL062W	0.1	0.7	0.75	1.44	0.14	0.25	0.49	0.59	0.57	0.69
YFL063W	-0.58	-0.18	0.06	-	-0.32	-0.23	0.11	0.54	0.28	0.18
YFL064C	-0.22	0.23	-0.06	0.41	-0.17	-0.12	0.25	0.42	0.55	0.54
YFL065C	-0.6	-0.45	0.06	-	-0.54	-0.3	0.19	0.54	0.2	0.36
YFL066C	-0.4	-0.12	-0.07	3.82	-0.69	-0.54	0.48	0.59	0.5	0.39
YFL067W	0.32	-0.15	0.43	-	-0.42	-0.38	0.25	0.65	0.3	0.36
YFL068W	0.01	0.15	-0.29	-	-0.71	-0.64	0.42	0.64	0.53	0.34
YFR001W	-0.92	-2	-1.29	-	-0.74	-0.42	-0.12	0.11	-0.2	-0.14
YFR002W	-0.14	-0.6	-0.34	0.08	-0.36	-0.25	0.01	0.29	-0.14	-
YFR003C	0.84	0.7	1.65	1.79	0.56	0.49	0.29	0.4	0.29	0.28
YFR004W	0.36	0.45	1.04	0.82	0.15	0.3	0.21	0.29	0.04	0.15
YFR005C	-	-0.18	-0.12	-	-0.58	-0.17	-0.74	-	-	-1
YFR006W	0.29	0.03	0.29	0.43	-0.34	-0.29	0.11	0.24	0.18	0.36
YFR007W	-0.38	-0.1	0.65	-0.74	0.58	-0.15	-0.18	0.16	0.32	-
YFR008W	-0.27	-0.12	0.48	0.58	-	-0.04	-0.12	0.25	-0.17	0.04
YFR009W	-0.43	-0.43	-0.43	0.04	-0.22	-0.56	-0.43	-0.15	1.43	-0.32
YFR010W	0.86	1.02	1.35	-	0.64	0.31	0.14	0.42	-0.06	0.25
YFR011C	0.19	0.25	0.74	2.04	0.74	0.46	0.14	0.3	-	0.1
YFR012W	0.28	-0.01	-0.03	-	-0.23	0.04	0.28	0.61	-	0.12
YFR013W	-0.27	-	-0.2	0.58	-0.03	-0.27	-0.23	0.07	-0.62	-0.34
YFR014C	0.53	-0.04	1.1	-	0.31	0.15	0.25	0.39	0.03	0.28
YFR015C	0.26	-	0.24	0.48	0.06	0.08	0.01	0.54	-	0.54
YFR016C	-	-0.32	0.15	-0.43	-0.25	-	-	-	-	-3.84
YFR017C	0.08	1.38	-	0.15	-	-	-	-	-	-
YFR018C	-0.14	-0.17	-0.67	0.18	-0.94	-0.25	0.32	-0.23	0.15	0.07
YFR019W	0.17	-0.16	0.66	0.85	-0.12	-0.12	-0.14	-0.15	-0.44	-0.59
YFR020W	-0.27	-1.06	0.12	0.57	-0.25	-0.04	-0.27	-0.25	-0.38	-0.15
YFR021W	-1.03	-1.25	-0.42	-	-0.49	0.1	-0.04	-0.45	-0.47	-0.27
YFR022W	-0.09	-2	-0.2	-0.15	-0.29	0.37	0.42	0.11	0.01	0.16
YFR023W	0.34	0.16	0.77	1.12	0.01	0.45	0.05	-0.41	-0.25	0.03
YFR024C	0.43	0.16	0.54	3.48	0.18	0.15	0.18	0.04	-0.12	-
YFR024C-A	0.91	1.72	0.65	0.53	0.59	0.51	-0.01	-0.07	-0.32	-0.47
YFR025C	-0.18	-0.32	-0.94	-	0.03	0.14	-0.22	-0.47	-0.45	-0.14
YFR026C	-	-0.84	0.28	0.45	-	-0.15	-	-2	-	-
YFR027W	-0.2	0.19	-	-	0.45	-0.01	-0.03	-0.06	-0.2	-0.1
YFR028C	-	-	-	-1.6	-	0.74	2	-	-	-
YFR029W	-	-	-	-	-	-	-	-	-	-
YFR030W	-0.12	0.26	0.58	-0.69	-0.22	-	-0.1	0.07	-0.29	-0.36
YFR031C	-0.6	-1.09	-0.36	-0.09	-0.51	-0.2	-0.14	-0.1	-0.4	-0.1
YFR031C-A	-0.25	-0.79	-1.36	-1.18	-1.09	-0.3	-0.54	-0.3	-0.38	-0.49
YFR032C	-0.56	-0.03	-2.06	-0.56	-0.62	-0.84	-0.3	-0.09	-1.79	-0.4
YFR033C	-0.3	0.06	0.11	0.45	-0.15	0.04	0.07	0.26	0.28	0.37
YFR034C	-0.14	0.23	-0.35	0.07	0.05	-0.55	-0.29	-0.09	-0.8	-0.58
YFR035C	-0.71	0.24	-0.6	-0.4	0.2	0.51	0.14	-0.07	0.01	0.28
YFR036W	-1.03	-0.92	-0.6	-1.12	-0.27	-0.45	-0.14	-0.34	-0.3	-0.49
YFR037C	-0.6	-0.71	-0.4	-0.67	-0.94	-	-0.3	-0.56	-0.58	-0.29
YFR038W	-0.64	-1.29	-0.92	-0.17	-0.07	-0.6	-0.09	-0.12	-0.36	-0.43
YFR039C	-	-	-0.04	-0.74	1.32	-	-	-	-	-
YFR040W	0.34	-1.94	1.58	-0.08	0.61	0.33	-0.26	0.07	-0.32	-0.32
YFR041C	0.93	1.26	1.21	0.93	0.23	0.28	-0.03	-0.23	0.24	-0.25
YFR042W	1.54	1.27	1.15	1.28	0.52	0.5	-0.09	-0.3	-0.15	-0.54
YFR043C	0.82	0.64	0.76	0.31	0.12	0.21	-0.23	-0.32	0.1	-0.51
YFR044C	0.42	0.01	0.28	-0.03	0.73	0.41	-0.45	-0.42	-0.23	-0.51
YFR045W	-0.03	0.96	0.64	-0.17	0.36	0.39	0.08	-0.22	0.24	-0.43
YFR046C	0.39	-0.14	-0.32	-0.4	0.6	0.32	-0.22	-0.27	-0.15	-0.43
YFR047C	1.01	0.36	1.03	0.75	0.57	1.34	0.54	0.31	0.65	-
YFR048W	0.15	-0.36	-0.42	0.19	-0.15	0.04	-0.56	-0.45	-0.43	-0.67
YFR049W	0.42	1.05	-	0.31	0.84	0.58	0.19	-0.15	0.32	-0.23
YFR050C	0.52	0.29	0.79	0.16	0.82	0.37	-0.4	-0.36	-0.43	-0.62
YFR051C	0.31	0.23	0.16	-0.36	0.36	0.06	-0.27	-0.5	-0.44	-0.58
YFR052W	-	1.09	1.55	1.1	1.08	0.65	-	0.92	-	-
YFR053C	1.11	2.63	3.15	2.56	3.07	2.27	1.1	1.06	1.29	1.13
YFR054C	-0.03	-0.1	-0.25	-0.51	-0.17	0.34	-0.3	0.03	-0.25	-0.64
YFR055W	-0.07	-0.94	0.21	-0.04	0.57	0.3	0.1	-0.22	-0.14	-0.34
YFR056C	-	-0.6	0.14	-0.49	0.18	0.14	-0.23	-0.4	-0.43	-0.76
YFR057W	0.63	0.37	-	-0.74	-0.99	0.55	-0.45	0.08	0.29	-0.05
YGL001C	-0.07	-0.62	0.12	-0.97	0.32	0.28	-0.2	-0.22	-0.49	-0.81
YGL002W	0.18	0.72	0.81	-0.03	0.23	0.16	-0.17	-0.42	-0.17	-0.38
YGL003C	0.45	-0.14	0.01	-0.62	0.25	-0.01	-0.56	-0.29	-0.71	-0.47
YGL004C	0.54	0.03	0.55	-0.14	0.5	0.34	-0.06	-0.18	-0.32	-0.42
YGL005C	0.86	0.51	0.84	1.25	0.37	0.16	-0.29	-0.15	-0.17	-0.47
YGL006W	1.08	0.89	1.04	0.43	0.58	0.44	0.27	0.27	0.39	0.14
YGL007W	-	-0.56	0.04	-1.74	-0.23	-0.3	-	-	-	-
YGL008C	-0.2	-1.47	-1.36	-0.97	-0.34	-0.15	0.54	-0.34	0.33	0.41
YGL009C	0.9	0.19	0.38	0.56	0.31	0.16	0.19	-0.23	-0.01	0.15
YGL010W	1.09	1.04	1.25	1.87	0.29	0.06	0.37	-0.54	0.43	0.23
YGL011C	0.31	0.49	0.88	0.61	0.77	0.49	0.32	-0.25	0.11	0.29
YGL012W	0.32	-0.18	0.16	0.11	0.58	0.59	0.99	-0.06	0.97	0.76
YGL013C	0.53	0.95	0.9	0.58	0.52	0.18	0.08	-0.4	-0.1	0.2
YGL014W	-0.01	-0.92	-0.47	-0.12	-0.38	-0.27	0.04	-0.4	0.21	0.18
YGL015C	-0.56	0.07	0.01	-0.15	-0.3	-0.12	0.23	-0.29	0.36	0.07
YGL016W	-0.15	-0.74	-0.64	0.08	-0.3	-0.22	0.24	-0.1	0.41	0.36
YGL017W	-1	-1.36	-0.6	-0.6	-0.4	0.01	-0.2	-0.51	-0.25	-0.15
YGL018C	-0.06	-0.27	-0.3	-0.36	0.15	0.3	0.36	-0.36	0.33	0.33
YGL019W	-0.29	-1	-1.03	-0.45	-0.47	0.26	-0.07	-0.42	-0.1	-0.01
YGL020C	-0.09	0.03	-0.06	-0.34	-0.2	-0.1	0.1	-0.47	0.11	0.28
YGL021W	-0.79	-3.18	-1.12	-0.92	-0.89	-0.62	-0.01	-0.22	-0.2	0.15
YGL022W	0.16	-0.03	-0.17	-0.1	0.15	0.04	0.14	-0.45	0.1	0.24
YGL023C	-0.03	0.2	-0.69	-0.22	-0.42	-0.34	0.21	-0.14	-0.18	0.07
YGL024W	0.85	0.03	0.8	-0.69	1.07	-0.23	0.11	-0.15	0.23	0.29
YGL025C	0.08	0.58	-0.25	-0.32	-0.17	-0.45	-	0.03	-0.01	0.03
YGL026C	1.29	1.2	1.09	0.61	1.06	0.61	0.45	-0.27	0.11	0.19
YGL027C	-0.12	0.29	-	0.06	0.54	0.16	0.11	-0.2	0.15	0.04
YGL028C	-0.74	-0.49	-0.94	-0.94	-1.15	-1.03	-1.09	-1.22	-0.06	-0.29
YGL029W	-1.89	-2.06	-2.18	-1.18	-0.89	-0.42	0.03	-0.34	-0.06	-0.12
YGL030W	-0.25	-1.03	-1.18	-0.25	-1.22	-0.81	-0.23	-0.81	-0.06	-0.04
YGL031C	-0.45	-0.76	-1.18	-0.64	-0.74	-0.42	0.04	-0.3	0.08	0.33
YGL032C	-0.45	-0.92	-0.79	-0.42	-0.67	-0.6	-0.32	-0.12	-0.4	-0.47
YGL033W	-0.07	-0.86	-0.14	-0.01	-0.27	-0.06	0.07	0.33	0.11	-0.14
YGL034C	0.01	0.38	-0.17	-0.33	0.06	-0.67	-0.37	0.05	-0.19	-0.01
YGL035C	0.03	-0.18	-0.1	-	-0.12	-0.36	-0.32	0.08	-0.22	-0.29
YGL036W	0.16	0.45	0.4	0.45	-0.05	-0.24	0.09	0.18	0.28	0.07
YGL037C	1.67	1.63	2.08	-	2.62	1.66	1.09	1.2	1.02	1.23
YGL038C	0.98	0.43	0.33	0.86	-0.43	-0.56	-	0.43	0.24	0.12
YGL039W	0.56	-0.04	0.25	0.42	0.36	0.34	0.58	0.7	-0.01	0.12
YGL040C	-0.38	0.21	0.15	0.2	-0.34	-0.22	0.03	0.39	0.16	0.06
YGL041C	0.34	0.53	0.65	3.28	0.07	0.07	0.04	0.39	0.11	0.26
YGL042C	-0.3	-0.45	-0.84	-0.79	-0.49	-0.49	-0.17	0.19	-0.2	-0.09
YGL043W	0.06	0.43	-0.42	-	-0.17	0.14	-0.27	0.3	-0.32	-0.18
YGL044C	-0.38	-1.22	-0.38	-0.69	-0.17	-0.09	0.18	0.29	0.18	0.08
YGL045W	-0.54	0.08	0.3	-0.18	0.25	0.11	0.07	0.39	-2	0.04
YGL046W	-0.3	-1.47	-0.07	-0.43	0.38	0.57	0.28	0.48	0.4	0.23
YGL047W	0.24	0.14	0.95	-0.07	0.84	0.57	0.16	0.38	-0.17	0.1
YGL048C	0.48	0.53	1.12	0.48	0.71	0.26	0.08	0.11	-0.2	0.14
YGL049C	-0.49	-0.38	0.04	-0.74	-0.29	-0.43	-0.36	0.26	-1.56	-0.18
YGL050W	-0.36	-0.86	-0.3	0.2	-0.45	-0.36	-	0.33	0.07	0.04
YGL051W	-0.38	-0.38	0.42	-0.38	0.24	0.16	0.21	0.42	-1.03	0.25
YGL052W	0.07	-0.97	0.29	-0.18	0.25	0.07	-	0.37	-0.03	0.32
YGL053W	-	0.28	1.11	0.25	0.56	0.33	0.3	0.43	-0.47	0.31
YGL054C	0.29	-0.34	-0.09	0.31	-0.38	-0.32	0.01	0.2	0.15	0.28
YGL055W	-2.47	-2.64	-1.51	-0.58	0.94	1.32	1.47	0.89	-0.45	0.1
YGL056C	-0.92	-1.56	-1.15	-0.69	-0.32	-0.76	-0.15	0.25	-0.01	-0.15
YGL057C	-0.1	-0.47	0.74	0.99	-0.04	-0.2	-0.09	0.01	-0.29	-0.2
YGL058W	-0.58	-0.89	-0.74	-0.6	-0.36	-0.67	0.03	0.12	0.06	-0.06
YGL059W	1.73	1.32	1.53	2.12	0.43	0.39	-0.03	0.08	-0.18	0.25
YGL060W	-0.27	-0.23	-0.4	0.21	-0.17	-0.54	-0.15	0.25	-0.07	-0.27
YGL061C	-0.62	-0.84	-1.15	-0.69	-0.56	-0.25	-0.2	-0.45	-0.34	-0.36
YGL062W	-0.1	0.06	-0.07	0.36	0.1	-0.08	-0.05	0.23	0.08	0.09
YGL063W	-0.94	-0.64	-0.79	-0.14	-	-1.06	-0.25	-0.45	-0.17	-0.32
YGL064C	-0.58	-0.76	-0.45	-0.38	-0.1	-0.51	-0.15	0.28	0.15	0.11
