ORF	H2O2 10m 	H2O2 20m 	H2O2 30m 	H2O2 40m	H2O2 50m 	H2O2 60m 	H2O2 80m 	H2O2 100m 	H2O2 120m 	H2O2 160m 
YAL064W	-0.06	-0.56	-0.64	0.11	0.36	0.16	-0.14	0.53	-0.09	0.14
YAL064W-B	0.23	0.11	-	0.48	0.32	-0.1	-0.17	0.39	0.19	0.03
YAL065C	0.06	-0.62	0.08	-0.58	0.52	0.33	0.09	0.3	0.15	0.03
YAL066W	-0.2	0.12	0.7	0.24	0.49	-0.07	-0.32	0.46	-0.47	0.48
YAL067C	0.41	0.44	-0.2	-0.58	-	0.03	0.01	0.78	-	0.12
YAL068C	-0.54	-0.45	-0.17	1.24	-0.29	0.41	0.21	0.19	-0.06	0.03
YAL069W	-0.23	-0.6	-0.06	-0.2	-0.34	-0.36	0.25	0.65	0.45	-
YAR002C-A	-0.49	-0.14	-0.04	-1.51	0.07	0.08	-0.07	0.03	-0.18	-
YAR002W	-0.58	-0.3	-0.71	-1	-0.32	-0.3	-0.1	0.2	-0.32	0.04
YAR003W	0.24	-0.03	0.42	-0.43	0.2	-	-0.03	0.3	0.81	-
YAR007C	0.1	-0.12	-0.32	0.63	0.6	0.29	0.03	0.51	0.12	0.08
YAR008W	-0.29	-0.34	-0.27	-1.03	-0.32	-0.18	-0.12	0.29	-0.18	0.01
YAR009C	-0.01	-0.03	-0.74	0.74	0.3	0.27	0.27	0.6	0.3	0.19
YAR010C	-	0.32	0.26	0.39	0.12	-	-	-	0.39	-
YAR014C	0.01	-0.27	-0.88	-1	-0.32	-0.14	-0.3	-0.02	0.08	-0.48
YAR015W	-0.55	-0.43	-0.96	0.54	-0.38	0.38	0.3	0.76	0.59	0.24
YAR018C	0.04	-0.56	-0.71	-0.47	-0.94	-0.81	-0.29	0.32	-0.04	-0.12
YAR019C	-0.08	0.52	0.08	0.32	-0.16	-0.19	-0.21	-0.05	0.23	-0.2
YAR020C	-0.04	-0.42	-0.3	-0.69	-0.6	-0.47	-0.36	0.1	-0.09	-0.1
YAR023C	-0.23	-2.12	0.43	0.84	-0.09	-0.23	-0.23	-0.14	-0.2	0.08
YAR027W	-0.22	0.21	0.51	1.56	0.2	-0.12	-0.09	0.34	0.06	0.2
YAR028W	0.1	0.93	1.01	1.35	0.16	0.04	-0.07	-0.22	-0.2	0.18
YAR029W	-0.3	-0.32	-0.51	-0.3	-0.67	-0.67	-0.27	0.3	0.28	-0.07
YAR030C	-0.4	-1.32	-0.36	0.36	-0.58	0.01	-0.2	-0.15	-0.15	0.18
YAR031W	-0.29	0.14	-0.14	0.28	0.01	-0.38	-0.23	0.25	-0.2	0.15
YAR033W	-0.42	0.14	0.15	0.87	0.11	0.29	-0.04	-0.14	-0.01	0.06
YAR035W	0.55	-1.48	0.08	-0.03	-0.1	-0.31	-0.18	-0.02	-0.16	-0.14
YAR042W	-0.71	-0.49	-0.22	-0.09	-0.49	-0.34	-0.23	-0.51	-0.47	-0.18
YAR044W	0.03	0.43	0.05	0.37	0.03	0.1	-0.15	0.15	-0.11	-0.2
YAR047C	0.25	0.07	0.12	-0.42	-0.47	-0.29	-0.47	-0.01	-0.07	0.14
YAR050W	0.16	-0.06	-0.03	-0.74	0.01	0.28	-0.21	-0.27	-0.14	-0.42
YAR053W	-0.32	-0.56	-0.43	0.67	0.07	-0.2	-0.09	-0.32	-0.62	-0.01
YAR060C	0.26	-1.29	-	-0.36	-0.17	-0.12	-0.23	-0.03	0.06	-0.04
YAR061W	-	-0.49	-0.2	-0.15	0.32	-0.43	-	-	-	-
YAR062W	1.39	-	0.57	-0.62	-	-	0.11	-0.03	0.24	-0.14
YAR064W	0.29	-0.18	-0.04	-0.42	-0.04	-0.18	-0.45	-0.12	-0.32	-0.42
YAR066W	0.1	0.34	-0.36	-0.42	0.38	0.28	-0.43	-0.71	-0.27	-0.38
YAR068W	0.39	-	0.52	0.2	-	-	-0.14	-0.01	0.33	-0.22
YAR069C	-0.15	-2.32	0.37	-0.07	-0.04	-0.56	-0.49	-0.22	-0.3	-0.84
YAR070C	0.68	-	0.31	-1.12	-	-	-0.25	-0.36	0.12	-0.51
YAR071W	-1.29	-2.18	-2.25	-1.4	-0.36	-0.17	-0.36	-0.01	-0.22	-0.49
YAR073W	0.21	-0.94	-0.64	-1.22	-0.12	-0.1	-0.49	-0.32	-0.17	-0.62
YAR075W	-0.84	-1.32	-1.22	-0.86	-0.43	-0.23	-0.22	-0.12	-0.14	-0.04
YBL001C	0.36	0.74	1.12	0.94	-0.62	-	0.04	-0.1	0.21	-0.3
YBL002W	-1.09	-1.84	-0.94	-0.91	-0.3	-0.14	-0.67	-0.62	-0.22	-0.27
YBL003C	-0.09	-1.6	-1.15	-1.38	-0.62	-	-0.4	-0.74	-0.23	-0.34
YBL004W	0.7	0.16	0.05	-0.13	0.09	-0.04	-0.38	-0.09	-0.38	-0.79
YBL005W	0.65	0.31	0.54	0.33	0.7	0.58	0.59	0.43	0.43	0.23
YBL005W-A	0.36	0.3	0.57	0.98	0.57	0.71	0.24	0.32	0.38	0.12
YBL005W-B	0.38	0.23	0.42	0.29	0.45	0.45	0.29	0.14	0.29	-0.01
YBL006C	0.24	-0.06	0.1	-0.51	-0.27	-0.4	-0.47	-0.4	-0.36	-0.4
YBL007C	0.42	-0.38	0.91	0.28	0.09	-0.09	-0.29	-0.12	-0.22	-0.47
YBL008W	0.43	0.03	0.12	0.58	-	0.27	-0.44	-0.27	-0.17	-0.44
YBL009W	-0.51	-0.97	-0.54	-0.3	-0.25	-0.06	-0.49	-0.43	-0.42	-0.67
YBL010C	-0.45	-0.04	-0.17	-0.25	0.26	0.12	-0.36	-0.36	-0.32	-0.36
YBL011W	0.32	0.1	0.58	0.01	0.26	0.21	-0.2	-0.09	-0.15	-0.42
YBL012C	0.25	0.01	0.18	0.25	-	-0.14	-0.36	-0.29	-0.32	-0.47
YBL013W	0.61	-0.09	0.57	0.33	0.1	-0.25	-0.38	-0.06	-0.23	-0.4
YBL014C	-	-	-	-0.15	-	-	-	-	-	-
YBL015W	0.56	0.44	0.67	0.3	0.06	-0.01	0.65	0.06	0.58	0.7
YBL016W	-1.03	-1.03	-0.3	-0.71	-1.15	-0.76	-0.17	-0.62	-0.29	-0.22
YBL017C	0.22	0.82	1.22	0.07	-0.1	-0.07	-0.04	-0.3	-	-0.13
YBL018C	-0.29	-1.15	-1.18	-0.3	-0.22	0.07	0.28	-0.38	0.24	0.26
YBL019W	-0.15	-0.18	-0.34	-1.12	0.03	0.2	0.42	-0.4	-	0.33
YBL020W	-0.42	-0.51	-0.81	-	-0.51	-0.15	0.01	-0.47	0.06	-0.03
YBL021C	0.29	-0.42	-0.27	-	-0.04	0.36	0.39	-0.51	0.41	0.41
YBL022C	0.52	1.12	0.56	1.52	0.35	0.47	-0.04	0.08	-0.1	0.04
YBL023C	-0.23	-1.09	-1.03	-0.2	-0.51	-0.42	0.03	-0.34	0.21	0.12
YBL024W	-0.89	-1.64	-1.22	-	-0.58	-0.6	-0.15	-0.43	-0.18	-0.07
YBL025W	-0.06	-0.42	-0.43	0.24	-0.06	-0.12	0.08	-0.47	0.06	0.19
YBL026W	-	2.29	-	0.96	-	-	-	-	-	-
YBL027W	-0.2	-1.43	-1.03	-0.84	-0.69	-0.51	-0.18	-0.51	0.07	0.19
YBL028C	-0.69	-1.56	-1.94	-0.64	-0.79	-0.3	0.16	-0.32	0.15	0.29
YBL029W	-0.97	-0.94	-1	-0.62	-1	-0.54	-0.1	-0.38	0.12	0.16
YBL030C	-0.43	-0.29	-0.3	-0.2	0.51	0.3	0.56	0.28	0.48	0.87
YBL031W	-1.06	-0.97	-0.92	-0.6	-0.23	-0.18	0.07	-0.54	0.12	0.08
YBL032W	-0.17	-0.47	-0.74	-	-0.54	-0.84	-0.15	-0.45	-0.3	0.07
YBL033C	0.27	2.96	0.04	-0.86	0.26	0.38	-0.04	-0.14	0.21	-0.11
YBL034C	0.21	-0.07	0.48	-0.81	0.03	-0.1	-0.18	-0.16	0.17	-0.11
YBL035C	-0.47	-0.94	-0.4	-0.74	0.03	-	0.01	-0.22	0.15	0.07
YBL036C	-0.06	0.3	0.23	-	0.04	0.06	0.28	-0.29	0.12	0.12
YBL037W	0.14	0.9	0.41	-1.22	-0.07	-0.17	0.06	-0.54	0.03	0.03
YBL038W	0.06	0.37	0.01	0.16	0.58	0.48	0.41	-	0.33	0.63
YBL039C	-2.12	-3.06	-3.32	-2.74	-1.22	-0.71	-0.2	-0.14	-0.2	-0.2
YBL040C	0.31	-0.25	0.24	0.7	-0.32	-0.12	-0.18	0.12	-0.12	0.11
YBL041W	-0.22	0.24	0.2	-0.17	0.31	0.33	0.23	0.07	0.11	0.11
YBL042C	-2.32	-	-2.25	-	-0.25	0.4	0.4	-0.29	-0.86	-0.3
YBL043W	-0.43	-0.07	-0.1	-	0.56	0.01	-0.17	0.21	0.23	0.2
YBL044W	-2.18	-1.69	-0.36	1.29	-0.89	-	-0.1	0.18	-0.29	-0.29
YBL045C	-0.71	-1.15	-0.49	-	0.03	-0.1	0.33	0.57	0.41	0.5
YBL046W	-1.6	0.06	-0.38	-	-0.71	-0.27	-0.36	0.14	-0.38	-0.07
YBL047C	0.25	1.11	0.37	-0.63	0.22	0.12	0.1	0.36	0.05	-0.03
YBL048W	-0.25	0.12	0.2	-0.18	-0.04	0.07	0.11	0.72	0.15	0.28
YBL049W	-0.45	0.32	-0.14	0.77	0.44	0.29	0.45	0.51	0.58	0.37
YBL050W	0.21	-0.27	0.2	-1.51	0.36	0.33	0.12	0.49	0.03	0.08
YBL051C	-0.3	-0.49	-0.22	-0.71	0.25	0.01	0.1	0.3	-0.15	0.16
YBL052C	-0.28	-0.47	-0.4	-0.06	-0.48	-0.45	-0.48	-0.15	-0.51	-0.32
YBL053W	-1.03	0.53	-1	-0.76	-0.4	-0.47	-0.15	0.42	-0.12	-0.1
YBL054W	-2.84	-2	-1.22	-1.29	-0.71	-0.2	-0.22	0.28	-	-0.07
YBL055C	-0.62	0.3	0.26	-0.3	-0.17	-0.01	0.2	0.38	0.04	0.03
YBL056W	-0.54	0.34	0.67	-	0.44	0.16	0.01	0.26	-	-0.01
YBL057C	-0.01	-0.27	-1.47	-0.49	-0.09	-0.51	0.11	0.16	-0.1	-0.1
YBL058W	0.3	0.55	0.76	-0.01	-0.17	-0.23	-0.1	0.16	-	-0.15
YBL059W	0.01	-0.25	0.16	-0.64	0.39	0.14	0.29	0.42	0.26	0.39
YBL060W	-0.09	0.51	0.21	0.37	0.12	0.08	0.01	0.21	-	0.01
YBL061C	-0.43	-1.18	-0.79	-0.86	-0.54	-0.58	-0.29	0.26	-0.27	-0.09
