ORF	diamide 5m	diamide 10m	diamide 20m	diamide 30m	diamide 40m	diamide 50m	diamide 60m	diamide 90m
YAL001C	0.07	0.15	0.14	0.15	-0.11	0.07	-0.41	-0.2
YAL002W	0.14	0.14	0.18	0.14	0.17	0.13	0.07	0.05
YAL003W	0.46	0.33	0.04	-0.6	-0.64	-0.51	-0.36	-0.1
YAL004W	0.61	0.88	1	0.35	0.67	0.6	0.78	0.46
YAL005C	0.86	1.19	1.58	0.93	1	0.85	1.24	1.06
YAL007C	0.12	0.49	0.62	0.49	0.84	0.89	1.08	0.87
YAL008W	0.49	1.01	1.33	1.23	1.32	1.03	1.14	0.68
YAL009W	0.14	0.43	0.82	0.38	0.31	0.27	0.31	0.14
YAL010C	0.15	0.18	0.43	0.24	0.43	0.28	0.21	0.23
YAL011W	-0.17	-0.23	-0.27	-0.09	-0.14	-0.18	-0.17	-0.23
YAL012W	0.83	1.1	1.23	1.01	0.88	0.9	0.84	0.46
YAL013W	-0.04	0.18	0.34	0.06	0.53	0.26	0.57	0.21
YAL014C	0.42	0.5	0.71	0.58	0.82	0.64	1.23	0.42
YAL015C	-0.07	0.58	0.8	0.9	0.99	0.96	0.8	0.37
YAL016W	0.31	0.44	0.7	0.54	0.64	0.39	0.56	0.29
YAL017W	0.63	0.57	0.77	0.69	0.65	0.4	0.39	0.26
YAL018C	0.2	0.24	0.29	0.37	0.21	0.18	0.2	-0.09
YAL019W	-0.39	-0.43	-0.59	-0.48	-0.52	-0.17	-0.07	-0.09
YAL020C	0.04	0.06	0.1	0.22	-0.34	-0.32	0.06	-0.05
YAL021C	0.11	0.03	0.35	0.36	0.37	0.42	0.43	0.31
YAL022C	0.19	0.11	0.23	0.24	0.4	0.29	0.21	0.03
YAL023C	0.01	-0.34	-0.1	-0.15	-0.01	0.12	0.24	0.38
YAL024C	0.25	0.14	0.36	0.18	-0.05	-0.13	-0.67	-0.1
YAL025C	-0.92	-1.94	-2.4	-2.47	-1.79	-1.03	-0.67	-0.64
YAL026C	0.21	0.23	0.23	-0.04	-0.14	0.01	-0.1	-0.14
YAL027W	-0.01	0.19	0.34	0.1	0.14	0.2	0.14	-0.04
YAL028W	0.32	0.42	0.72	0.79	0.75	0.67	0.65	0.33
YAL029C	-0.12	-0.01	-0.08	-0.27	-0.23	-0.11	-0.24	-0.15
YAL030W	0.15	0.57	0.64	0.44	0.52	0.38	0.28	0.08
YAL031C	0.28	0.33	0.41	0.14	0.23	0.08	-0.18	0.1
YAL032C	-0.1	0.03	0.14	-0.09	0.04	-0.17	-0.1	-0.07
YAL033W	0.21	0.23	0.08	-0.17	-0.1	-0.16	-0.18	-
YAL034C	0.29	0.37	0.73	0.84	0.52	0.32	0.73	0.55
YAL034W-A	0.12	0.11	0.06	-0.17	0.01	-0.06	-0.04	-0.07
YAL035C-A	-0.14	-0.29	-0.23	-0.47	-0.42	-0.43	-0.51	-0.45
YAL035W	-0.74	-0.77	-0.66	-0.97	-0.48	-0.63	-0.42	-0.45
YAL036C	-0.15	-0.69	-0.94	-0.89	-0.74	-0.47	-0.15	-0.04
YAL037W	-0.47	-0.4	-0.36	-0.29	-0.25	-0.45	-	-0.09
YAL038W	0.46	0.33	-0.06	-0.22	-0.17	-0.06	0.46	-0.07
YAL039C	0.32	0.86	1.24	0.76	1.28	0.7	0.85	0.07
YAL040C	-	0.11	0.23	0.28	0.18	-0.25	-0.45	-0.42
YAL041W	-0.47	-0.34	-0.03	-0.25	0.06	-0.49	-0.22	-
YAL042W	0.38	0.28	0.15	0.21	0.18	0.04	0.14	0.01
YAL043C	-	-0.45	0.01	-0.04	0.03	-0.45	-0.25	-0.4
YAL043C-A	0.1	-0.49	-0.15	-0.07	-0.03	-0.22	-0.04	-0.27
YAL044C	0.41	0.57	0.36	0.42	0.53	0.54	0.55	0.32
YAL045C	0.11	0.26	0.39	0.31	0.51	0.31	0.59	0.29
YAL046C	0.23	0.15	0.01	-0.18	-0.54	0.06	0.12	0.03
YAL047C	-0.58	-0.47	-0.32	-0.45	-0.25	-0.3	-0.29	-0.18
YAL048C	0.14	-0.04	0.08	-0.01	-0.07	-0.1	0.15	0.15
YAL049C	0.18	0.43	0.48	0.5	0.63	0.42	0.39	-0.01
YAL051W	-0.04	0.01	0.09	-0.01	-0.11	0.01	-0.13	-0.29
YAL053W	0.04	-0.22	-0.09	0.22	0.17	0.22	0.95	-0.08
YAL054C	0.26	0.26	0.25	0.83	0.38	0.21	0.04	-0.12
YAL055W	0.06	0.31	0.41	0.39	0.39	0.38	0.1	0.1
YAL056W	0.23	0.14	0.13	-0.02	-0.03	-0.13	-0.28	-0.24
YAL058C-A	-	-	-	0.87	-	-	-	-
YAL058W	-0.24	-0.43	0.07	-0.14	-0.59	-0.59	-0.36	-0.48
YAL059W	-0.54	-1.12	-1.43	-2	-1.03	-1.29	-1.09	-0.69
YAL060W	0.58	1.54	1.88	1.94	1.46	0.77	0.12	-0.43
YAL061W	0.92	1.96	2.63	1.9	1.02	0.95	0.77	0.01
YAL062W	0.18	0.24	0.37	0.21	0.06	-0.29	-0.36	-0.56
YAL063C	-0.08	0.06	0.04	0.41	-0.16	-0.07	-0.26	-0.01
YAL064C-A	-0.29	-0.17	0.15	0.19	0.31	-0.03	-0.23	-0.15
YAL064W	-	-0.2	-	-	-	-0.32	-0.69	-
YAL064W-B	-0.04	-0.04	0.12	0.2	0.23	0.03	0.11	0.2
YAL065C	0.01	0.09	0.22	0.26	0.17	0.21	0.08	0.08
YAL066W	-	0.01	-	-	-	0.58	0.52	-
YAL067C	-	0.18	0.03	0.03	-0.17	-0.12	-0.14	-0.1
YAL068C	-0.18	-0.15	-0.12	-0.2	-0.74	-0.17	0.1	0.15
YAL069W	0.08	-0.3	-0.04	-0.22	-0.15	-0.4	-0.36	-0.22
YAR002C-A	0.24	0.16	0.03	0.11	0.41	0.75	0.66	0.65
YAR002W	-0.09	-0.07	-0.34	-0.36	-0.15	-0.18	-0.2	-0.2
YAR003W	-0.49	-0.27	-	-0.18	-	-0.15	-	-
YAR007C	0.15	0.39	0.56	0.48	0.59	0.41	0.28	0.06
YAR008W	-0.3	0.16	-0.07	-0.51	0.1	-0.15	-0.12	-0.2
YAR009C	-0.27	-0.1	-0.03	-0.21	0.23	0.02	0.29	0.24
YAR010C	-0.29	-0.18	-0.51	-0.17	0.15	-0.29	0.66	0.16
YAR014C	0.46	0.36	0.93	-0.58	-0.15	-0.16	-0.37	0.09
YAR015W	0.1	-0.99	-1.56	-1.69	-0.62	-1.22	-0.81	-0.6
YAR018C	0.19	-0.17	0.1	-0.25	-0.25	-0.18	-0.89	-0.25
YAR019C	0.12	0.04	0.91	-0.52	-0.3	-0.23	-0.17	-0.38
YAR020C	0.18	0.16	0.01	0.08	-	-0.06	-0.12	-0.01
YAR023C	-0.22	0.15	0.07	0.14	-0.18	0.18	0.34	-0.1
YAR027W	0.43	0.74	0.54	0.86	0.68	0.65	0.66	0.6
YAR028W	-0.03	-0.17	-0.25	-0.22	-0.17	-0.2	0.2	-
YAR029W	0.15	0.16	0.03	-0.15	-0.17	-0.27	-0.42	-0.06
YAR030C	-0.22	-0.25	-0.07	-0.2	-0.62	-0.42	-0.27	-0.43
YAR031W	0.19	0.5	0.36	0.37	0.4	0.26	0.51	0.39
YAR033W	0.03	0.3	0.18	0.21	0.42	0.24	0.69	0.49
YAR035W	0.06	0.23	0.21	0.11	0.09	-0.07	-0.23	-0.11
YAR042W	-0.47	-0.71	-0.34	-0.15	-0.1	-0.27	-0.18	-0.15
YAR044W	-0.34	-0.37	-0.06	-0.04	0.05	-0.19	-0.15	-0.29
YAR047C	-0.18	-0.01	-0.01	-0.15	-0.14	-0.49	-0.36	-
YAR050W	-0.15	-0.18	-0.15	0.06	-0.19	-0.3	-0.5	-0.28
YAR053W	-0.32	-0.23	-0.23	-0.04	-0.03	0.06	-0.04	-0.07
YAR060C	-0.25	-0.14	-0.03	-	0.16	-0.07	-0.06	-0.03
YAR061W	-0.58	-0.36	-0.32	-0.2	-0.36	-0.38	-0.56	-0.22
YAR062W	-0.38	-0.47	-0.29	-0.09	0.14	-0.03	0.12	0.08
YAR064W	-0.29	-0.06	-0.22	-0.17	-0.06	0.01	0.1	-0.25
YAR066W	-	-	-	-	-	-	-	-
YAR068W	0.07	0.06	0.15	0.21	0.5	0.4	0.62	0.59
YAR069C	-0.12	-0.25	-0.23	0.11	-0.17	-0.07	-0.06	-0.54
YAR070C	0.11	0.1	0.18	0.1	0.15	0.01	0.07	-0.01
YAR071W	-0.29	-1.03	-2.06	-2.25	-1.56	-1	-0.79	-1.56
YAR073W	-	-0.42	-1	-1.4	-0.97	-0.69	0.2	-0.1
YAR075W	-0.09	-0.3	-1.29	-1.51	-1.22	-0.74	-0.1	-0.38
YBL001C	0.52	0.74	0.67	0.58	0.76	0.51	0.67	0.28
YBL002W	0.43	0.58	0.16	-0.42	-0.49	-0.2	0.18	0.41
YBL003C	0.5	0.65	0.3	-0.45	-0.62	-0.47	0.1	0.32
YBL004W	-0.28	-0.7	-0.94	-0.17	-0.83	-0.58	-0.2	-0.45
YBL005W	-0.04	-0.09	0.01	-0.04	0.55	0.44	1.04	1
YBL005W-A	-0.34	-0.12	-0.1	-0.4	0.37	0.41	0.75	0.58
YBL005W-B	0.11	0.16	-0.03	0.06	0.37	0.36	0.55	0.77
YBL006C	0.26	0.52	0.55	0.4	0.44	0.55	0.58	0.16
YBL007C	0.12	0.04	0.44	0.52	0.38	0.02	-0.12	-0.07
YBL008W	0.14	-0.25	0.24	-	0.04	-0.11	-0.11	-0.11
YBL009W	-0.23	-0.81	-1.06	-0.84	-0.62	-0.45	-0.67	0.03
YBL010C	-0.04	0.01	0.08	-0.17	0.08	0.37	-0.14	0.21
YBL011W	0.25	0.25	0.58	0.33	0.42	0.07	0.2	0.23
YBL012C	-0.01	-0.43	0.11	0.08	0.19	0.1	-0.03	-0.03
YBL013W	0.1	-0.25	0.01	0.16	-0.01	-0.23	-	-0.4
YBL014C	-0.81	-1.51	-1.36	-1.22	-0.89	-0.71	-0.51	-0.27
YBL015W	0.3	0.71	0.76	0.42	-0.4	-0.6	-0.25	-0.34
YBL016W	-0.25	-0.71	-0.89	-0.18	-0.15	0.16	0.64	0.46
YBL017C	-0.02	0.04	0.07	-0.18	-0.02	-0.21	-0.45	-0.2
YBL018C	-0.09	-0.43	-0.79	-0.74	-0.79	-0.1	-0.14	0.24
YBL019W	-0.03	-0.18	0.23	0.33	-0.03	0.16	0.25	0.4
YBL020W	-0.45	-0.62	-0.81	-0.56	-0.45	-0.38	0.04	-0.03
YBL021C	0.11	0.4	0.4	0.41	0.1	0.33	0.54	0.19
YBL022C	-0.23	0.36	1.01	1.1	1.29	0.7	0.58	0.27
YBL023C	-0.23	-0.42	-0.27	-0.29	-0.18	-0.3	-0.74	-0.36
YBL024W	-0.56	-1.12	-1.47	-1.56	-1.22	-1.18	-0.67	-0.62
YBL025W	-0.12	0.1	0.26	0.37	-0.1	0.19	0.23	-0.07
YBL026W	0.31	0.44	-	-	0.04	-	0.37	-0.04
YBL027W	0.38	0.55	-0.25	-0.84	-1	-0.64	-0.45	-0.38
YBL028C	-0.49	-1.18	-2.18	-1.94	-1.47	-0.97	-0.62	-0.38
YBL029W	0.14	0.19	0.4	0.58	0.39	0.66	0.82	0.29
YBL030C	0.29	0.66	0.45	0.32	0.4	0.14	-0.14	-0.09
YBL031W	-0.09	-0.03	-0.04	0.06	-0.4	-0.17	-0.4	-0.01
YBL032W	0.36	0.12	-0.17	-0.12	0.18	-0.23	-0.03	0.12
YBL033C	0.73	1.08	1.08	0.88	1.15	1.11	1.01	0.54
YBL034C	-0.04	-0.41	0.09	-0.18	-0.31	-0.33	-0.74	-0.55
YBL035C	-0.29	-0.67	-0.79	-0.71	-0.3	-0.15	-0.64	-0.2
YBL036C	-0.09	0.16	0.07	-0.01	0.11	0.26	0.3	0.16
YBL037W	0.07	0.08	0.24	0.07	0.38	-0.04	-0.07	-0.12
YBL038W	0.11	0.7	0.96	0.72	0.77	0.69	0.48	0.2
YBL039C	-0.43	-1.89	-2.64	-2.84	-1.6	-1.32	-0.67	-0.2
YBL040C	0.24	0.63	0.48	0.58	0.78	0.7	0.66	0.49
YBL041W	0.51	0.97	1.12	1.07	0.76	1.04	1.21	0.55
YBL042C	-0.92	-2.32	-2.74	-2.06	-1.79	-1.6	-1.47	0.21
YBL043W	-0.1	-0.14	-0.27	-0.17	-0.86	-0.18	0.57	-0.23
YBL044W	-0.2	-0.18	-0.36	-0.17	-0.6	-0.54	-0.12	-0.67
YBL045C	0.46	0.71	0.53	-0.03	0.06	-0.49	-0.32	-0.3
YBL046W	-0.3	-0.18	-0.15	-0.3	-0.1	-0.18	-0.42	-0.14
YBL047C	0.18	0.38	0.42	0.45	0.52	0.18	-0.35	-0.15
YBL048W	-	-0.14	-0.17	0.37	0.54	0.51	1.06	-0.04
YBL049W	-0.1	-0.03	0.14	0.53	-0.42	0.2	1.09	0.14
YBL050W	0.21	0.96	0.94	0.9	0.75	0.66	0.58	0.19
YBL051C	0.11	-0.34	-0.29	-0.45	-0.07	-0.56	-0.49	-0.22
YBL052C	-1	-0.66	-0.78	-1.06	-0.79	-0.74	-1.12	-0.37
YBL053W	-0.54	-0.45	-0.38	-0.54	-0.36	-0.49	-0.97	-0.43
YBL054W	-1.69	-2.94	-0.97	-3.18	-2.32	-1.36	-0.23	-0.42
YBL055C	-0.18	-0.42	-0.64	-0.38	-0.36	-0.17	0.46	0.14
YBL056W	0.11	0.32	0.56	0.5	0.63	0.24	0.33	0.06
YBL057C	0.3	0.65	0.39	0.34	0.39	0.25	0.32	0.1
YBL058W	0.3	1.1	1.22	1.32	1.36	1.18	0.88	0.25
YBL059W	0.14	0.55	0.59	0.51	0.3	0.37	0.48	0.24
YBL060W	-0.6	-0.18	-0.06	-0.04	0.12	-	-0.17	-0.1
YBL061C	-0.58	-0.69	-0.64	-0.64	-0.1	-0.27	-0.54	-0.27
YBL062W	-0.74	-0.56	-0.76	-0.64	-0.14	-0.14	-0.45	-0.18
YBL063W	-0.17	0.27	0.45	0.26	0.28	0.04	-0.3	0.06
YBL064C	1.99	3.44	3.64	3.46	3.39	2.79	2.39	1.4
YBL065W	0.3	0.36	0.33	-0.18	0.04	-0.1	-0.2	-0.2
YBL066C	-0.34	0.26	0.47	-0.35	0.15	-0.04	0.05	-0.24
YBL067C	-0.18	-0.22	-0.2	-0.43	-0.18	-0.58	-0.47	-0.23
YBL068W	-0.34	-0.58	-1.51	-1.51	-1.06	-0.81	-0.38	-0.42
YBL069W	0.1	-0.71	-0.92	-0.97	-0.86	-0.86	0.2	-0.18
YBL070C	-0.22	-0.76	-0.42	-1.06	-0.74	-0.89	-0.1	-0.6
YBL071C	-0.01	-0.79	-0.47	-0.43	-0.27	-0.21	-0.23	-0.01
YBL072C	0.54	0.42	-0.51	-1.15	-1.18	-1.06	-0.71	-0.43
YBL073W	0.31	-0.38	-0.01	-0.15	-0.29	-0.62	-0.43	-0.09
YBL074C	-0.36	-0.67	-0.22	-0.15	-0.22	-0.1	-0.22	0.08
YBL075C	0.73	1.26	1.74	1.42	1.38	1.17	1.33	1.32
YBL076C	-0.3	-1.06	-1.18	-1.36	-1.09	-0.94	-0.58	-0.43
YBL077W	-0.01	-0.1	-0.69	-1	-0.89	-0.69	-0.36	-0.34
YBL078C	0.52	1.82	1.93	2.11	2.13	1.65	1.34	0.62
YBL079W	-0.41	-0.66	-0.49	-0.86	-0.47	-0.66	-0.71	-0.28
YBL080C	-0.42	0.11	-0.12	0.37	0.39	0.11	-0.06	0.03
YBL081W	-0.32	-0.54	-0.74	-0.54	-0.4	-0.54	-0.47	-0.42
YBL082C	-0.15	-0.6	-0.81	-0.58	-0.38	-0.1	-0.06	0.2
YBL083C	-0.23	-0.42	-0.79	-0.49	-0.43	-0.22	0.21	0.08
YBL084C	-0.32	-0.36	-0.2	-0.18	-0.12	-0.42	-0.54	-0.4
YBL085W	-0.02	0.01	0.23	-0.15	-0.31	-0.42	-0.7	-0.56
YBL086C	0.19	0.39	0.59	0.43	0.06	-0.18	-0.67	-0.43
YBL087C	0.49	0.33	-0.27	-1	-1.15	-0.94	-0.62	-0.32
YBL088C	-0.15	0.03	-0.36	-0.42	-0.09	-0.23	-0.27	-0.43
YBL089W	0.1	0.18	0.23	0.08	0.23	0.18	0.23	0.15
YBL090W	0.18	0.88	0.95	0.79	0.59	0.68	0.23	-0.1
YBL091C	0.18	0.42	0.52	0.28	0.31	0.28	0.33	0.06
YBL092W	0.49	0.53	-0.12	-0.76	-1.09	-0.71	-0.56	-0.27
YBL093C	-0.18	-0.06	-0.15	-0.22	0.23	0.38	0.88	0.26
YBL094C	-0.04	0.1	-0.18	-0.25	-0.15	-0.07	0.07	-0.12
YBL095W	0.16	0.15	-0.06	-0.06	0.01	-0.04	0.19	0.08
YBL096C	-0.17	-0.15	-0.32	-0.17	-0.23	-0.43	-0.15	-0.27
YBL097W	-0.09	0.06	-0.13	-0.03	-0.11	-0.22	-0.23	-0.07
YBL098W	-0.12	0.03	-0.04	-0.29	-0.09	-0.15	0.07	0.42
YBL099W	0.41	0.78	0.63	0.31	0.25	-0.12	-0.17	-0.12
YBL100C	0.37	0.44	0.59	0.11	0.14	0.01	-0.12	-0.1
YBL101C	0.36	0.65	0.97	0.61	0.87	0.57	0.29	0.14
YBL101W-A	-0.42	-0.51	-0.27	-0.1	0.61	0.76	1.28	1.16
YBL101W-B	-0.15	0.07	-	-0.03	0.44	0.44	0.88	0.86
YBL102W	0.2	0.41	0.56	0.7	0.86	0.66	0.29	0.29
YBL103C	-0.3	-0.3	-0.15	-0.15	-0.22	-0.4	-0.4	-0.43
YBL104C	-0.2	-0.49	-0.17	-0.17	-0.07	0.1	-0.03	0.06
YBL105C	-0.09	-0.22	-0.22	-0.15	-0.15	-0.1	-0.38	-0.29
YBL106C	-	-0.76	-0.36	-0.23	-0.07	-0.17	-0.34	-0.14
YBL107C	0.15	0.84	1.2	1.12	1.36	1.47	1.46	0.62
YBL108W	-	0.03	0.14	0.06	0.19	0.2	0.19	-0.23
YBL109W	-0.3	-0.07	-	-	-0.03	-0.09	-0.23	-0.09
YBL111C	-0.22	-0.14	-0.06	0.03	0.04	-0.12	-0.32	-0.14
YBL112C	-0.56	-0.2	-0.2	-0.03	0.06	-0.12	-0.29	-0.25
YBL113C	-0.14	-0.03	0.19	0.15	0.18	0.01	-0.2	-0.09
YBR001C	0.66	1.44	1.77	1.95	2.14	1.37	0.6	0.51
YBR002C	-0.15	-0.17	0.04	-0.15	-0.18	0.11	0.36	0.3
YBR003W	0.31	-2.12	0.19	-1	-1.89	0.39	-1	-
YBR004C	-0.18	-0.27	-0.49	-0.23	-0.2	0.01	0.7	0.16
YBR005W	0.23	0.51	0.3	0.62	0.74	0.79	2.31	1.23
YBR006W	0.32	0.92	1.61	2.1	1.64	1.64	2.05	0.79
YBR007C	-0.34	-0.32	-0.22	-0.23	0.04	0.11	0.16	0.29
YBR008C	2.13	2.24	2	1.33	1.74	2.09	2.01	1.37
YBR009C	0.6	0.86	0.3	-0.27	-0.34	-0.15	0.15	0.34
YBR010W	0.53	0.6	0.23	-0.45	-0.49	-0.34	0.28	0.26
YBR011C	0.36	0.45	0.28	0.11	0.37	0.28	0.45	0.26
YBR012C	-0.3	-0.25	-0.25	-0.12	-0.23	0.08	0.56	-0.01
YBR012W-A	-0.27	-0.32	-0.34	-0.25	0.38	0.29	0.78	0.82
YBR012W-B	-0.2	-	-0.12	-0.09	0.43	-	0.58	-
YBR013C	-0.45	-0.22	-0.3	-0.27	0.37	0.12	0.32	0.03
YBR014C	0.33	0.52	1.04	0.9	0.99	1.03	0.7	0.57
YBR015C	0.03	-0.2	-0.07	-0.01	0.16	0.08	0.06	-0.01
YBR016W	0.42	0.64	0.9	0.71	0.79	0.56	0.72	0.55
YBR017C	-0.38	-0.76	-0.81	-0.94	-0.34	-0.58	-0.43	-0.22
YBR018C	0.03	0.03	0.19	0.59	-1.12	-0.18	-0.1	-0.27
YBR019C	-0.27	-0.18	-0.12	0.1	-0.09	-0.27	-0.2	-
YBR020W	-0.15	-0.2	-0.29	-0.34	-0.94	-0.76	-0.64	-0.3
YBR021W	-0.6	-1.74	-1.79	-1.56	-1.36	-1.22	-1	-
YBR022W	0.15	0.36	0.29	0.29	-0.09	0.33	0.29	0.14
YBR023C	-0.47	-0.84	-0.79	-0.47	-0.07	-0.04	0.26	-0.06
YBR024W	0.1	0.58	0.82	0.7	0.04	0.45	0.69	0.08
YBR025C	0.23	0.38	0.03	-0.47	-0.45	-0.36	0.11	0.24
YBR026C	0.61	1.21	1.52	1.62	1.24	1.32	0.95	0.29
YBR027C	-0.22	0.11	-0.23	-0.23	-0.12	-	-0.29	-0.09
YBR028C	0.1	-	-0.15	-0.22	-0.12	0.04	-0.14	0.04
YBR029C	-0.25	-0.17	-0.03	0.26	0.42	0.29	-0.09	0.15
YBR030W	-0.42	-0.79	-1.03	-0.84	-0.64	-0.51	-0.4	-0.12
YBR031W	0.3	0.23	-0.69	-1.18	-1.03	-0.71	-0.47	-0.51
YBR032W	-0.3	-0.4	-0.67	-0.51	-0.81	-0.89	-0.51	-0.81
YBR033W	-0.46	-0.47	-0.54	-0.33	-0.23	-0.3	-0.3	-0.2
YBR034C	-0.58	-1.09	-1.74	-1.32	-0.97	-0.74	0.08	-0.45
YBR035C	0.32	0.89	0.94	0.61	0.85	0.6	0.48	0.3
YBR036C	0.33	0.4	0.25	0.46	0.37	0.3	0.51	0.26
YBR037C	0.58	1.49	1.95	1.76	1.87	1.21	0.7	0.28
YBR038W	-	-0.23	-0.05	0.01	-0.26	-0.2	-0.59	-0.08
YBR039W	0.42	0.77	0.42	-0.15	-0.04	-0.25	0.07	0.06
YBR040W	-	-0.67	-0.67	-0.2	-0.71	-0.42	0.46	0.49
YBR041W	-0.04	0.11	0.1	0.2	-	0.16	-0.09	-0.34
YBR042C	0.03	0.03	-0.14	-0.27	-0.15	-0.18	0.04	0.04
YBR043C	-0.42	-0.81	-0.64	-0.38	0.07	0.11	0.38	0.61
YBR044C	0.25	0.41	0.55	0.39	0.16	-	-0.2	0.07
YBR045C	0.16	-0.84	-0.45	-	-0.06	-0.22	-0.2	-1.6
YBR046C	0.87	1.44	1.42	2.16	1.81	1.58	1.55	0.99
YBR047W	0.49	1.7	0.75	1.43	1.23	1.06	0.91	-0.12
YBR048W	0.43	0.14	-0.57	-1.15	-1.23	-1	-0.76	-0.44
YBR049C	-0.49	-0.34	-0.23	-0.47	-0.15	-0.4	-0.89	-0.12
YBR050C	0.5	1.17	0.36	1.34	0.7	0.58	0.77	0.32
YBR051W	0.04	0.72	0.61	0.77	0.7	0.34	0.07	-0.69
YBR052C	0.86	2.09	2.53	2.47	2.28	1.92	1.7	0.89
YBR053C	0.49	1.34	1.67	1.96	1.96	1.65	1.42	0.75
YBR054W	0.31	0.65	0.31	-0.18	-0.3	-0.32	1.21	-0.64
YBR055C	-0.51	-0.45	-0.6	-0.6	-0.32	-0.29	-0.29	-0.34
YBR056W	0.71	1.51	2.04	2.23	1.88	1.36	1.27	0.62
YBR057C	-0.43	-0.34	-0.25	-0.25	-0.18	-0.25	-0.34	-0.29
YBR058C	-0.08	-0.19	-0.23	-0.04	0.03	-0.06	0.05	0.1
YBR059C	-0.06	0.03	0.29	0.31	0.32	0.03	-0.4	0.03
YBR060C	-0.15	-0.36	-0.49	-0.49	-0.32	-0.29	-0.49	-0.2
YBR061C	-0.23	-0.97	-1.36	-1.4	-0.86	-0.56	-0.1	-0.03
YBR062C	0.11	1.3	1.34	1.36	1.26	1.18	1.23	0.53
YBR063C	-0.76	-0.54	-0.36	-0.29	-0.14	-0.22	-0.04	0.04
YBR064W	-0.62	-0.74	-0.49	-0.38	-0.47	-0.69	-0.56	-0.36
YBR065C	-0.62	-0.92	-0.79	-0.64	-0.4	-0.17	-0.01	-0.04
YBR066C	0.42	0.14	0.46	0.1	0.38	0.34	-0.14	0.6
YBR067C	0.36	0.58	0.43	0.23	0.42	0.65	0.61	0.36
YBR068C	0.57	0.41	0.59	0.77	0.84	0.77	1.23	0.54
YBR069C	-0.42	-1.22	-1.94	-1.79	-1.47	-1.15	-0.56	-0.4
YBR070C	0.21	0.39	0.28	0.08	0.34	0.46	0.41	0.39
YBR071W	0.16	0.28	0.14	0.34	0.91	1.09	1.24	0.66
YBR072W	0.54	2.63	4.14	2.9	3.04	2.88	2.79	1.71
YBR073W	-0.74	-0.79	-0.58	-0.47	-0.18	0.03	-0.32	-0.06
YBR074W	-0.43	-1.22	-0.94	-	-0.56	-0.64	-0.54	-0.27
YBR075W	-0.43	-0.45	-0.71	-0.71	-0.47	-0.43	-0.47	-0.29
YBR076W	-0.17	0.2	0.04	0.21	0.15	0.08	0.41	0.11
YBR077C	0.24	0.75	0.63	0.55	0.64	0.7	0.58	0.28
YBR078W	0.23	0.18	-0.06	0.11	0.29	0.41	0.7	0.77
YBR079C	-0.49	-1.09	-1.15	-1.36	-1	-0.74	-0.6	-0.49
YBR080C	0.07	0.12	0.39	0.26	0.48	0.24	0.34	0.25
YBR081C	-0.19	-0.01	-0.02	-0.12	0.05	-0.05	-0.24	-0.22
YBR082C	0.97	1.53	1.83	1.38	1.54	1.43	1.72	1.19
YBR083W	0.32	0.58	1.12	0.86	1.07	0.72	-0.42	0.39
YBR084C-A	0.25	0.5	-0.23	-0.86	-0.94	-0.6	-0.42	-0.34
YBR084W	-0.56	-1.03	-1.69	-2.12	-1.64	-1.12	-0.51	-0.03
YBR085W	0.19	0.56	0.28	0.23	0.07	-0.12	-0.25	-0.22
YBR086C	-0.14	-0.31	-0.11	-0.29	-0.28	-0.49	-0.85	-0.51
YBR087W	-	0.16	-0.09	-0.23	-0.23	-0.03	0.18	-0.07
YBR088C	-0.09	-0.38	-0.71	-1.15	-0.25	0.12	-0.23	-0.12
YBR089W	-0.09	-0.34	-0.67	-0.04	-0.42	-0.14	-0.32	-0.34
YBR090C	0.58	1.29	1.48	1.48	1.63	1.28	1.09	0.53
YBR091C	0.12	0.28	0.15	0.21	0.06	0.11	0.24	0.04
YBR092C	-0.32	-1.03	-2.06	-2.06	-1.64	-1.29	-1.18	-1.43
YBR093C	-0.49	-1.29	-2.25	-2.18	-1.51	-0.69	-0.64	-1.36
YBR094W	-0.01	-0.22	-0.07	-0.01	-0.07	-0.34	-0.23	-
YBR095C	-0.45	-0.29	-0.3	-0.56	-0.03	0.01	-0.09	0.21
YBR096W	0.42	0.86	0.82	0.84	0.64	0.52	0.38	0.15
YBR097W	0.02	-0.03	0.3	0.13	-0.06	0.03	-0.04	-0.38
YBR098W	0.12	0.23	0.43	-0.04	-0.03	0.08	-0.62	0.12
YBR099C	0.42	0.7	0.18	-0.17	-0.27	-0.04	-0.07	0.3
YBR100W	0.28	0.39	0.15	-0.04	-0.32	-0.07	-0.06	0.04
YBR101C	1.08	1.48	1.21	0.39	0.75	0.85	0.93	1.08
YBR102C	-0.49	-0.32	-0.29	-0.15	-0.15	-0.1	-0.3	-0.06
YBR103W	-0.27	-0.14	-	-0.06	0.04	0.07	-0.22	0.33
YBR104W	-0.58	-0.89	-1.47	-0.92	-0.84	-0.43	0.01	-0.15
YBR105C	-0.1	0.11	0.19	0.38	0.58	0.36	0.96	0.58
YBR106W	0.36	0.66	0.58	0.59	0.81	0.85	0.97	0.64
YBR107C	-0.18	-0.06	0.07	0.2	0.3	0.49	0.77	0.65
YBR108W	-0.1	0.24	0.31	0.29	0.52	0.19	0.2	0.08
YBR109C	0.34	0.5	0.49	0.44	0.62	0.6	0.75	0.36
YBR110W	-0.09	0.19	0.04	0.1	0.33	0.29	0.18	0.19
