ORF	diamide 5m	diamide 10m	diamide 20m	diamide 30m	diamide 40m	diamide 50m	diamide 60m	diamide 90m
YOL115W	-0.54	-0.69	-0.89	-1.03	-0.71	-0.69	-0.54	-0.32
YOL116W	0.16	0.16	0.54	0.4	0.33	0.21	0.01	0.34
YOL117W	0.04	0.28	0.71	0.55	0.9	0.54	0.07	0.07
YOL118C	0.75	0.73	1.08	0.98	1.04	1.19	1.21	0.88
YOL119C	1.14	1.56	1.67	1.95	2.39	2.07	1.56	1.32
YOL120C	0.38	0.25	-0.36	-0.92	-1.06	-0.94	-0.86	-0.3
YOL121C	0.43	0.4	-0.34	-0.97	-1.06	-0.74	-0.54	-0.32
YOL122C	0.23	0.05	0.19	0.34	0.6	0.5	0.31	0.31
YOL123W	-0.36	-0.2	-0.64	-1.29	-1.15	-1.18	-0.89	-0.12
YOL124C	-0.89	-1.69	-2.25	-1.6	-1.36	-0.67	-0.38	0.11
YOL125W	-0.71	-1.4	-2.18	-1.69	-1.47	-0.81	-0.25	-0.14
YOL126C	-0.32	-0.71	-0.69	-0.71	-0.89	-1.6	-1.79	-0.51
YOL127W	0.46	0.49	-0.23	-0.81	-1.25	-0.69	-0.49	-0.4
YOL128C	-0.45	-0.69	-0.89	-0.12	-0.2	-0.12	-0.03	0.25
YOL129W	0.34	0.79	0.96	1.12	1.09	0.95	0.85	0.43
YOL130W	-0.38	-1.03	-1.22	-1	-0.79	-0.67	0.12	-0.06
YOL131W	-0.25	0.03	0.85	1.3	1.12	1.24	1.24	-
YOL132W	-0.07	-0.25	0.06	0.25	-0.06	0.24	0.56	0.04
YOL133W	0.25	0.77	0.81	0.93	1.01	0.83	0.58	0.28
YOL134C	0.31	0.63	1.03	0.82	0.75	0.7	0.54	0.32
YOL135C	0.23	0.23	0.26	0.21	0.45	0.39	0.18	0.23
YOL136C	-0.27	-0.22	-0.58	-0.45	-0.47	-0.51	-0.45	-0.58
YOL137W	-0.25	-0.42	-0.64	-0.49	-0.18	-0.23	-0.22	-0.09
YOL138C	-0.2	0.07	-0.01	0.08	-	-0.14	-0.36	0.04
YOL139C	0.38	0.19	-0.29	-0.67	-0.45	-0.12	0.12	0.01
YOL140W	-0.42	-0.6	-0.94	-0.69	-0.81	-0.43	-0.03	0.14
YOL141W	-1.15	-1.18	-1.94	-0.86	-1.32	-1.06	-0.18	-0.23
YOL142W	-0.09	-0.6	-0.81	-0.62	-0.49	-0.25	0.15	0.28
YOL143C	0.54	0.83	0.58	0.25	0.31	0.19	0.15	-0.17
YOL144W	-0.56	-0.51	-1.12	-0.94	-0.64	-0.79	-0.47	-0.32
YOL145C	-0.56	-0.45	-0.58	-0.84	-0.51	-0.38	-0.74	-
YOL146W	-	-0.23	-0.27	-0.29	-0.36	0.03	-0.01	0.37
YOL147C	0.08	-0.12	-0.56	-0.29	-0.12	0.14	0.14	0.18
YOL148C	-0.27	-0.01	0.18	-	0.14	-0.01	-0.27	0.24
YOL149W	-0.09	-0.17	-0.43	-0.51	-0.34	-0.27	-0.18	-0.15
YOL150C	3.42	4.27	3.76	3.01	2.67	2.98	2.9	2.77
YOL151W	3.49	4.19	3.86	3.19	3.38	3.03	3.07	2.73
YOL152W	0.74	0.7	0.61	1.04	1.37	1.21	0.81	1.12
YOL153C	0.51	1.36	1.89	1.85	1.77	1.37	0.78	0.58
YOL154W	-0.14	-0.1	-0.2	0.33	0.08	0.32	0.4	0.19
YOL155C	0.1	0.04	0.29	0.71	0.64	0.45	0.54	0.45
YOL156W	0.89	0.83	1.01	1.31	1.18	0.77	1.3	0.76
YOL157C	0.74	0.84	0.64	0.51	0.36	0.23	0.21	0.2
YOL158C	0.23	0.16	-0.25	-0.56	-0.54	-0.64	-0.84	-0.4
YOL159C	0.18	0.49	0.6	0.38	0.56	0.67	0.58	0.57
YOL160W	0.04	-0.14	-0.34	0.25	-0.34	-0.42	-0.27	-0.43
YOL161C	-0.18	-0.12	-0.62	-0.12	0.21	0.04	0.51	0.3
YOL162W	-0.22	0.12	0.33	0.57	0.33	0.44	0.82	0.11
YOL163W	-0.23	-0.01	0.4	0.75	0.43	0.58	0.7	-0.04
YOL164W	-0.04	-0.03	-0.1	0.1	-0.07	0.06	0.59	0.24
YOL165C	0.9	1.9	1.97	2.59	3.05	3.13	3.04	2.21
YOL166C	-0.25	-0.4	-0.4	-0.07	-0.74	-0.74	-0.4	-0.74
YOR001W	-0.64	-1.43	-1.84	-1.84	-1.4	-1.18	-0.6	-0.42
YOR002W	0.14	-0.14	-0.07	0.15	0.33	0.38	0.81	0.58
YOR003W	-0.06	0.18	0.42	0.72	0.9	0.59	0.36	0.2
YOR004W	-0.84	-2.06	-2.74	-2.74	-2.12	-1.56	-0.74	-0.56
YOR005C	-0.12	0.16	0.19	0.25	0.42	0.16	0.19	0.11
YOR006C	-0.4	-0.64	-0.84	-0.84	-0.74	-0.58	-0.18	-0.07
YOR007C	0.43	1.21	1.5	1.49	1.6	1.56	1.68	1.39
YOR008C	0.44	0.44	0.4	0.14	0.01	-0.12	0.19	-0.06
YOR008C-A	-0.06	-0.31	-0.28	-0.33	-0.66	-0.71	-0.66	-0.68
YOR009W	-	-0.34	-0.45	-0.3	-0.4	-	-0.67	-0.74
YOR010C	0.1	-0.15	-0.42	-0.38	-0.62	-0.92	-0.81	-0.86
YOR011W	-	-1.06	-0.94	-	-0.84	-0.81	-0.47	-0.49
YOR012W	0.2	0.1	-0.03	0.1	-0.3	-0.32	-0.01	-0.54
YOR013W	-0.36	-0.2	-0.32	-0.27	-0.18	-0.01	0.01	-0.01
YOR014W	0.01	-0.03	0.08	0.14	0.07	-0.2	-0.38	-0.27
YOR015W	-0.17	0.21	0.03	-	0.16	0.03	-0.2	-0.13
YOR016C	0.14	0.08	-0.08	-0.2	-0.32	-0.18	-0.27	-0.47
YOR017W	-0.12	0.03	0.11	-0.22	-0.04	-0.27	-0.51	-0.22
YOR018W	0.77	0.56	0.75	0.77	0.63	-0.01	0.01	-0.01
YOR019W	0.03	0.45	0.92	0.94	0.93	0.77	0.83	-0.1
YOR020C	1.11	2.01	2.35	2.47	2.29	2.1	1.73	1.18
YOR021C	-0.17	-0.34	-1.15	-1.56	-1.29	-0.79	-0.36	-0.2
YOR022C	0.32	0.64	0.69	0.63	0.68	0.41	0.28	0.3
