ORF	         Acid 0m	        Acid 10m	        Acid 20m		Acid 40m	        Acid 60m	        Acid 80m		Acid 100m
YAL064W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL065C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL066W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL067C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL068C	          850.80	         1581.60	          959.60	          832.50	          944.60	          751.40	         1199.80
YAL069W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR002C-A	          844.30	         1620.50	         1557.00	         1780.60	            NULL	            NULL	            NULL
YAR002W	          325.60	          410.40	          438.70	          348.70	          428.10	          374.60	          306.60
YAR003W	          125.20	          159.90	          159.00	           90.10	          174.10	           71.20	          108.20
YAR007C	          140.15	          174.00	          281.90	          274.40	          371.00	          148.60	          226.00
YAR008W	          306.90	          248.10	          225.60	          315.40	          353.90	          231.80	          275.60
YAR009C	         4831.65	         8654.60	         7849.00	         5469.00	         7043.60	         7759.10	         5572.30
YAR010C	         1772.60	         2064.90	         2560.60	         2496.60	         1441.20	         2385.30	         1652.50
YAR014C	          130.90	           89.40	          114.70	          138.70	          122.70	          150.50	          126.80
YAR015W	          909.05	          516.20	          437.20	          479.20	          542.20	          539.20	          575.40
YAR018C	           89.75	            NULL	          153.10	            NULL	            NULL	           97.00	          106.10
YAR019C	           29.55	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR020C	         2651.20	         2996.20	         2880.20	         2448.00	         2959.50	         2428.90	         2400.90
YAR023C	           34.50	           47.00	           40.70	           82.40	           57.10	           67.20	           40.00
YAR027W	          195.65	          428.00	          370.60	          289.80	          362.40	          208.00	          252.90
YAR028W	            NULL	          149.30	          116.10	          118.20	           97.00	           61.30	            NULL
YAR029W	            NULL	            NULL	           49.50	            NULL	            NULL	           21.60	           23.40
YAR030C	           47.00	           50.60	           46.60	            NULL	            NULL	            5.80	           17.20
