ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YMR316W	           96.35	          398.10	          353.30	          283.40	          442.00	          506.20	          510.30
YMR317W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR318C	         2170.10	         1758.70	         2077.70	         1804.00	         1332.50	         1491.30	         1778.40
YMR319C	          472.20	          493.40	          649.60	          574.50	          421.60	          626.70	          701.10
YMR320W	           33.20	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR321C	         3077.10	          741.00	         1283.70	         1806.20	         1909.50	         2106.90	         2214.50
YMR322C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	          106.50
YMR323W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR324C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR325W	          127.80	          170.70	          122.20	          148.70	          124.70	           74.40	          124.20
YMR326C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL001W	          169.90	          165.20	           74.80	          107.40	            NULL	          130.60	           97.60
YNL002C	          618.55	          322.90	          404.70	          650.50	          477.20	          622.70	          534.70
YNL003C	          511.50	          708.00	          896.50	          723.60	          712.90	          863.70	         1001.80
YNL004W	          279.50	          249.60	          230.90	          216.80	          187.80	          243.10	          228.50
YNL005C	          308.55	          537.40	          414.60	          362.30	          297.30	          355.60	          251.80
YNL006W	          777.80	         1025.20	          884.70	          558.60	          510.60	          521.30	          595.70
YNL007C	         3922.35	         2880.90	         3179.90	         3069.00	         2601.60	         1904.00	         2295.40
YNL008C	          355.80	          517.30	          215.10	          262.40	          390.00	          344.50	          373.90
YNL009W	           64.80	            NULL	            NULL	           65.40	           48.60	           42.30	           46.60
YNL010W	          952.90	          605.30	          533.10	          651.20	          634.90	          766.30	          703.40
YNL011C	          102.80	           93.70	            NULL	           45.90	           41.20	           58.30	           39.90
YNL012W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            2.20
YNL013C	           71.40	          218.40	          171.60	           72.70	          189.70	           79.40	          105.40
YNL014W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL015W	          452.75	         4998.80	         2541.90	         1520.90	          937.30	          977.20	         1257.00
YNL016W	          525.20	          361.40	          400.70	          402.10	          289.80	          298.30	          396.00
YNL017C	            NULL	            NULL	            NULL	           24.90	            NULL	            NULL	            NULL
YNL018C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL019C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL020C	           26.70	           25.80	            NULL	            NULL	            NULL	           49.30	           56.60
YNL021W	          174.75	          126.70	          106.40	          144.40	           39.40	           65.40	           69.90
YNL022C	          305.00	          238.50	          262.50	          201.60	          230.50	          244.10	          219.60
YNL023C	          245.65	            NULL	            NULL	            NULL	          184.10	          142.70	          104.30
YNL024C	          220.65	          121.20	            NULL	            NULL	            NULL	           46.30	            NULL
YNL025C	           11.00	            2.00	            0.00	           51.00	            NULL	            0.00	            NULL
YNL026W	          259.40	          269.70	          211.10	          220.40	          180.40	          181.80	          201.90
YNL027W	           54.65	          183.50	           78.80	            NULL	          154.40	          125.60	           64.30
