ORF	         NaCl 0m	        NaCl 15m	        NaCl 30m	        NaCl 45m	        NaCl 60m	       NaCl 120m
YJL127C	           67.00	            NULL	           32.90	           72.30	            NULL	            NULL
YJL128C	          382.00	          313.20	          397.30	          522.10	          196.90	            NULL
YJL129C	          305.00	          160.80	          111.20	          203.80	          351.60	            NULL
YJL130C	         4571.00	         2152.80	          681.90	          531.90	         1099.40	         4137.30
YJL131C	          367.00	            NULL	          341.30	          240.70	            NULL	            NULL
YJL132W	          204.00	          228.10	          733.30	          387.40	          422.90	            NULL
YJL133W	         1142.00	          653.50	         1015.60	          595.90	          767.20	          569.70
YJL134W	          952.00	          581.20	          708.70	          350.40	          473.00	            NULL
YJL135W	           78.00	           48.10	          189.40	            NULL	            NULL	            NULL
YJL136C	        26237.00	        18353.70	        20405.00	        18150.00	        38487.20	        33830.40
YJL137C	          250.00	          194.10	          347.40	          330.90	          350.10	          224.70
YJL138C	        12055.00	         5110.40	         6734.90	         3901.70	         6071.50	         5101.40
YJL139C	          314.00	          272.10	          626.60	          465.60	          503.30	          232.00
YJL140W	          650.00	          395.40	         1022.50	          505.80	         1003.80	          293.20
YJL141C	          391.00	          277.70	         1670.60	         1518.20	         1041.80	          662.70
YJL142C	          201.00	           71.50	          479.40	          473.20	            NULL	          283.40
YJL143W	         1680.00	          579.00	          894.40	          903.40	          923.50	          503.60
YJL144W	            NULL	          481.20	         1073.90	          582.90	          146.80	            NULL
YJL145W	          965.00	         1002.30	          544.60	          493.80	          661.00	          405.80
YJL146W	          497.00	          584.70	          556.80	          541.60	          418.40	          317.70
YJL147C	          172.00	          282.00	          135.70	          114.70	            NULL	            NULL
YJL148W	         3039.00	         1369.50	          559.90	          422.10	         2068.60	         1235.30
YJL149W	          366.00	            NULL	          546.10	          499.30	            NULL	            NULL
YJL150W	           81.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJL151C	         2763.00	         1422.60	         2117.80	         4364.40	         4563.80	         2781.70
YJL152W	          704.00	          450.70	          613.60	          824.10	          692.90	            NULL
YJL153C	            NULL	          110.40	          363.50	          346.10	            NULL	            NULL
YJL154C	          301.00	          106.90	          227.80	          390.60	          338.00	            NULL
YJL155C	          305.00	          206.10	         1449.00	         2119.00	         1017.50	          523.20
YJL156C	          286.00	          276.30	          625.90	            NULL	          504.80	            NULL
YJL157C	         2713.00	         1239.70	          299.10	            NULL	          565.50	          391.10
YJL158C	        16885.00	         9573.80	         3906.70	         3019.60	         9469.10	         8673.80
YJL159W	        13742.00	         5707.40	         4641.50	         8979.20	         8845.70	         2263.00
YJL160C	            NULL	           95.60	           76.70	            NULL	            NULL	            NULL
YJL161W	            NULL	          185.60	          650.40	         1016.40	          365.30	            NULL
YJL162C	            NULL	            NULL	          165.60	           99.50	            NULL	            NULL
YJL163C	           39.00	           48.10	          484.00	          263.50	          162.00	            NULL
YJL164C	          797.00	         1096.50	         4766.60	         2656.70	         2218.80	         1210.80
YJL165C	          458.00	          169.30	         1617.70	          685.00	          551.80	            NULL
YJL166W	         4333.00	         4052.70	        10354.70	        10942.20	        10659.80	         7076.00
YJL167W	         3148.00	         2099.70	         3263.10	         1789.80	         2413.00	         1115.40
YJL168C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL169W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL170C	          167.00	          136.00	          586.00	          257.00	            NULL	            NULL
YJL171C	          124.00	          148.00	         2223.70	         1486.70	          931.00	            NULL
YJL172W	          369.00	          192.70	          551.50	          329.80	          573.10	          195.30
YJL173C	         1272.00	         1289.40	         1818.70	         1020.70	         1163.10	          968.50
YJL174W	         3216.00	         2013.90	         3095.90	         2864.20	         3922.20	         1778.50
YJL175W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL176C	           80.00	           61.50	           62.80	            NULL	            NULL	          139.00
