ORF	         NaCl 0m	        NaCl 15m	        NaCl 30m	        NaCl 45m	        NaCl 60m	       NaCl 120m
YAL001C	          174.00	          230.20	          299.90	          171.20	          184.80	            NULL
YAL002W	          333.00	          220.30	          541.50	          694.80	          394.10	            NULL
YAL003W	        15445.00	        11549.50	         9841.50	         6563.20	         8343.70	         6846.00
YAL004W	          202.00	          140.90	          633.50	          276.60	            NULL	            NULL
YAL005C	        29015.00	        22033.70	        20397.30	        32061.50	        41566.30	        27057.40
YAL007C	          627.00	          300.40	          602.90	          266.80	          466.90	          396.00
YAL008W	          219.00	          126.70	          723.30	            NULL	          312.20	            NULL
YAL009W	         1107.00	          791.00	         1379.10	         1048.90	         1184.30	          733.60
YAL010C	            NULL	            NULL	          217.00	          116.90	          204.50	            NULL
YAL011W	           78.00	            NULL	           70.50	            NULL	            NULL	            NULL
YAL012W	         6592.00	          783.20	          890.50	          616.60	          911.30	          281.00
YAL013W	         1035.00	          298.30	          482.40	          404.80	          297.00	          290.80
YAL014C	          726.00	          120.40	          239.30	          311.30	            NULL	            NULL
YAL015C	          136.00	          179.20	          462.50	          198.40	            NULL	            NULL
YAL016W	         2563.00	         1392.90	         2950.90	         3064.10	         3838.80	         2488.10
YAL017W	          577.00	          373.40	         1186.60	         1513.90	         1402.80	          924.50
YAL018C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL019W	          295.00	           70.00	           78.20	           96.20	          271.20	          202.70
YAL020C	          373.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL021C	          966.00	          197.60	          160.30	          213.60	          392.60	          146.40
YAL022C	         1269.00	          349.30	          371.20	          562.30	          633.70	          856.00
YAL023C	         7645.00	         1244.70	         1456.60	         2179.80	         3244.20	         2380.40
YAL024C	          135.00	            NULL	           55.90	            NULL	          183.30	            NULL
YAL025C	          475.00	          131.70	            NULL	            NULL	            NULL	            NULL
YAL026C	          445.00	          357.10	          309.10	          370.00	          463.90	          303.00
YAL027W	          274.00	          120.40	          292.20	          376.50	            NULL	            NULL
YAL028W	            NULL	          123.90	          477.80	          476.50	            NULL	            NULL
YAL029C	         1598.00	         1202.90	         1171.30	         1418.30	          856.70	          904.90
YAL030W	         2287.00	          842.00	         2018.90	         2739.30	         1245.00	            NULL
YAL031C	          689.00	          348.60	         1091.50	         1490.00	            NULL	          413.10
YAL032C	          160.00	            NULL	          234.70	            NULL	            NULL	            NULL
YAL033W	          392.00	          550.70	          341.30	          435.20	          231.80	            NULL
YAL034C	          330.00	          350.10	         1989.70	         1339.00	          236.30	          227.10
YAL034W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL035C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL035W	         4268.00	         1224.90	            NULL	          559.00	         1493.80	          701.80
YAL036C	         3941.00	          760.50	            NULL	            NULL	         1238.90	          503.60
YAL037W	            NULL	           62.90	            NULL	            NULL	            NULL	            NULL
YAL038W	        20456.00	        13029.10	        16252.00	        11901.40	        18805.10	        13513.80
YAL039C	         1447.00	          186.30	          310.60	          321.10	          313.70	            NULL
YAL040C	         1190.00	          152.30	          760.10	          619.80	          469.90	          329.90
YAL041W	          554.00	          174.20	          681.90	          464.50	          941.70	          312.80
YAL042W	         2843.00	          520.90	         1168.20	          677.40	         1060.00	          618.60
YAL043C	          703.00	            NULL	          309.10	          262.40	            NULL	            NULL
YAL043C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL044C	         9837.00	         6585.70	         5231.40	         4519.80	        10637.10	         7166.60
YAL045C	            NULL	            NULL	          141.10	          208.10	            NULL	            NULL
YAL046C	          740.00	          155.80	          217.00	          242.90	          275.80	          285.90
YAL047C	            NULL	           53.70	            NULL	            NULL	          306.10	            NULL
YAL048C	            NULL	            NULL	            NULL	            NULL	          192.40	          207.60
YAL049C	         1651.00	         1423.40	         1311.60	         1561.70	         2179.40	         1247.50
YAL051W	          345.00	          268.50	          125.00	          303.70	          353.10	          205.10
YAL053W	         1429.00	          703.10	         1500.30	         1637.70	         2106.60	         1399.20
YAL054C	          292.00	          205.40	          329.80	          494.90	            NULL	          425.30
YAL055W	          288.00	          132.40	          430.30	          430.80	          365.30	            NULL
YAL056W	          230.00	           64.40	          125.00	          326.50	            NULL	          170.90
YAL058C-A	          155.00	            NULL	           81.30	          198.40	          280.30	            NULL
YAL058W	            NULL	            NULL	          161.00	            NULL	            NULL	            NULL
YAL059W	         1513.00	          601.00	          345.90	          299.40	          422.90	          268.70
YAL060W	          565.00	         1051.90	         1775.00	         1088.10	          853.70	          381.30
YAL061W	          169.00	          637.90	         5727.70	         4361.20	         1554.40	          567.30
YAL062W	          224.00	            NULL	          161.00	          222.30	            NULL	            NULL
YAL063C	            NULL	          146.60	          173.30	          242.90	          219.70	            NULL
YAL064C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL064W	            NULL	            NULL	           12.20	            NULL	            NULL	            NULL
YAL064W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL065C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL066W	            NULL	           53.70	          234.70	            NULL	            NULL	            NULL
YAL067C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL068C	          941.00	          325.20	          553.00	          404.80	         1034.20	         1037.10
YAL069W	            NULL	            3.40	            NULL	            NULL	            NULL	            NULL
YAR002C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR002W	         1075.00	          664.10	         1055.40	          958.80	          793.00	          422.90
YAR003W	          576.00	          694.60	         1070.00	         1017.40	          727.80	            NULL
YAR007C	         1252.00	          705.90	         1126.00	         1750.70	         1424.00	          750.80
YAR008W	          561.00	          293.30	          205.50	          230.90	          233.30	          430.20
YAR009C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR010C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR014C	         1049.00	          459.20	          471.70	          756.70	          802.10	          493.80
YAR015W	         2329.00	          576.90	          236.20	            NULL	         1741.00	          452.30
YAR018C	            NULL	            NULL	            NULL	           64.70	          110.40	            NULL
YAR019C	            NULL	            NULL	           85.90	          116.90	          253.00	            NULL
YAR020C	         1304.00	          881.70	          444.80	          323.30	          541.20	          924.50
YAR023C	            NULL	            NULL	           47.50	            NULL	            NULL	            NULL
YAR027W	            NULL	          105.50	          290.70	          144.00	          289.40	            NULL
YAR028W	          426.00	          537.20	          331.30	          412.40	          433.50	            NULL
YAR029W	            NULL	           15.40	           83.60	            NULL	            NULL	            NULL
YAR030C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR031W	            NULL	           45.90	            NULL	            NULL	            NULL	            NULL
YAR033W	           33.00	            NULL	           44.40	            NULL	            NULL	            NULL
YAR035W	          306.00	            NULL	            NULL	            NULL	          322.80	            NULL
YAR042W	          186.00	            NULL	          105.80	          128.80	          248.50	          244.30
YAR044W	          135.00	            NULL	            NULL	            NULL	            NULL	          143.90
YAR047C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR050W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR053W	           75.00	            NULL	            NULL	           76.70	            NULL	            NULL
YAR060C	           55.00	            NULL	          123.40	            NULL	            NULL	            NULL
YAR061W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR062W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR066W	          295.00	           63.70	            NULL	            NULL	            NULL	            NULL
YAR068W	          668.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAR069C	            NULL	            NULL	            NULL	          216.80	            NULL	            NULL
YAR070C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR071W	        12128.00	         7379.70	         3026.80	         1358.60	         2152.10	         1741.80
YAR073W	          496.00	          711.60	          210.10	            NULL	          306.10	            NULL
YAR075W	         2111.00	         1113.60	          645.10	          544.90	          665.60	            NULL
YBL001C	          883.00	         1057.60	         2446.20	         2026.60	         5346.50	         3858.30
YBL002W	         4329.00	         2928.40	         3937.40	         4939.10	         3822.10	         4306.10
YBL003C	         4944.00	         3380.00	         5166.20	         6374.10	         6286.90	         4629.10
YBL004W	          179.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBL005W	          864.00	          484.70	          909.70	         1266.20	         1141.90	          838.90
YBL005W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL005W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL006C	         1987.00	          828.60	         1711.30	         2757.70	         2071.70	         1572.90
YBL007C	         1109.00	          399.00	          847.60	         1397.70	         1525.60	          953.90
YBL008W	            NULL	            NULL	           33.70	           88.60	            NULL	            NULL
YBL009W	          382.00	           87.80	          117.30	            NULL	            NULL	            NULL
YBL010C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL011W	          751.00	          157.90	          554.50	          564.40	          604.90	          650.50
YBL012C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL013W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL014C	          351.00	          121.10	          446.40	          275.50	          430.50	          305.40
YBL015W	          456.00	          199.10	          862.90	         1064.20	          507.80	          254.10
YBL016W	          321.00	          109.00	          165.60	          104.90	            NULL	            NULL
YBL017C	         2682.00	         2043.70	         2057.20	         1970.20	         2657.20	         2192.00
YBL018C	          569.00	          589.70	          268.40	          187.50	          685.30	          721.40
YBL019W	           96.00	           38.80	          144.20	          175.50	            NULL	            NULL
YBL020W	          687.00	          355.70	          579.10	          504.70	          513.90	            NULL
YBL021C	          423.00	          205.40	          295.30	          340.70	          328.90	          312.80
YBL022C	         1480.00	          665.50	          764.00	         1193.40	         1345.10	          904.90
YBL023C	          684.00	          254.40	          283.80	          351.50	          348.60	            NULL
YBL024W	          944.00	            NULL	          326.70	          220.10	          471.40	            NULL
YBL025W	          149.00	          155.10	          109.60	          192.90	            NULL	            NULL
YBL026W	          702.00	            NULL	            NULL	          534.00	         1753.10	          936.70
YBL027W	        13947.00	        10119.70	         8392.50	         4407.90	         8944.30	         7100.50
YBL028C	          580.00	          518.80	          253.10	            NULL	          488.10	          466.90
YBL029W	            NULL	          140.20	            NULL	          242.90	          199.90	            NULL
YBL030C	         3945.00	         1919.60	         3006.10	         3126.00	         3574.80	         2656.90
YBL031W	          136.00	           57.30	           76.70	            NULL	            NULL	            NULL
YBL032W	         1359.00	          865.40	          912.00	          886.00	          347.10	          437.60
YBL033C	          919.00	          347.90	          731.70	          864.30	          468.40	          501.20
YBL034C	          403.00	          253.60	          584.50	          589.40	          239.40	            NULL
YBL035C	          352.00	          185.60	            NULL	          127.70	            NULL	            NULL
YBL036C	          677.00	          663.40	          887.50	          887.10	         1028.10	          591.70
YBL037W	          115.00	           65.80	           69.70	            NULL	            NULL	            NULL
YBL038W	          277.00	          254.40	          818.40	          573.10	          805.10	          320.10
YBL039C	         4304.00	         2201.00	          936.50	          297.20	         1578.70	         1541.10
YBL040C	          375.00	          420.20	         1237.20	          875.10	         1337.50	         1017.50
YBL041W	          994.00	         1414.10	         2031.90	         3071.70	         2667.80	         1541.10
YBL042C	          556.00	          155.80	           95.10	          238.50	          705.00	          628.40
YBL043W	            NULL	            NULL	            NULL	          158.20	            NULL	          153.70
YBL044W	            NULL	           55.90	          152.60	          116.90	            NULL	            NULL
YBL045C	         1305.00	          802.30	         1975.20	         3111.90	         2558.60	         2507.60
YBL046W	          809.00	          584.70	          839.90	         1134.80	          547.30	          660.20
YBL047C	         1110.00	          650.60	         1329.30	         2256.90	         1706.10	         1793.20
YBL048W	            NULL	           31.80	          233.10	          267.90	            NULL	          258.90
YBL049W	          150.00	            NULL	          202.50	          270.10	          383.50	          327.50
YBL050W	         1141.00	         1278.00	         1991.30	         1951.70	         1857.80	         1188.80
YBL051C	         1735.00	          908.00	         1221.90	         1254.30	         1246.50	          750.80
YBL052C	          286.00	          124.60	          126.50	           93.00	          155.90	            NULL
YBL053W	          202.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBL054W	          828.00	          136.70	           38.30	            NULL	            NULL	            NULL
YBL055C	          516.00	          318.90	          225.50	          165.80	          371.30	            NULL
YBL056W	          357.00	          267.10	          398.80	          459.10	          436.60	            NULL
YBL057C	          512.00	          755.60	         1013.30	          537.30	          504.80	          339.70
YBL058W	         3789.00	         3292.80	         5888.00	         5824.50	         4900.50	         2162.60
YBL059W	            NULL	            NULL	          234.70	            NULL	          240.90	           82.80
YBL060W	          105.00	           64.40	          158.00	          201.60	            NULL	            NULL
YBL061C	          472.00	          325.20	          343.60	          220.10	          266.70	            NULL
YBL062W	          310.00	          260.70	          145.70	          296.10	          177.20	            NULL
YBL063W	          228.00	          162.90	            NULL	            NULL	            NULL	            NULL
YBL064C	          335.00	          623.00	         3373.50	         4015.70	          618.60	         1237.70
YBL065W	            NULL	           39.50	            NULL	          170.10	          115.00	            NULL
YBL066C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL067C	          112.00	           57.30	           92.80	          183.10	          233.30	            NULL
YBL068W	          857.00	          654.20	          383.50	          343.90	          554.90	            NULL
YBL069W	          246.00	            NULL	          148.00	          194.00	            NULL	          261.40
YBL070C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL071C	          101.00	           70.00	           50.60	            NULL	            NULL	            NULL
YBL072C	        16784.00	        11809.70	        13275.70	        11991.60	        21441.30	        14047.20
YBL073W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL074C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL075C	            NULL	           50.90	          444.80	          688.30	          357.70	            NULL
YBL076C	         1105.00	          891.70	          840.70	          762.20	         1111.50	         1095.80
YBL077W	          188.00	          136.70	          118.80	          367.80	          262.10	            NULL
YBL078C	          373.00	          397.60	         2282.80	         5241.10	         2563.10	         1736.90
YBL079W	          152.00	           60.10	          149.50	          158.20	          219.70	            NULL
YBL080C	            NULL	           21.80	          106.60	          101.70	            NULL	            NULL
YBL081W	         1008.00	          113.30	          254.60	          350.40	          315.20	          555.00
YBL082C	         1426.00	          228.10	          319.80	          414.50	          365.30	          459.60
YBL083C	            NULL	            NULL	           32.20	            NULL	            NULL	          141.50
YBL084C	          647.00	          274.20	          592.10	          707.80	          600.40	          440.00
YBL085W	          911.00	          294.80	          452.50	          553.60	          729.30	          462.00
YBL086C	          180.00	          118.90	          863.70	          595.90	          306.10	          210.00
YBL087C	        17064.00	        11854.40	        11049.70	         7603.90	        15481.80	         7555.60
YBL088C	          138.00	            NULL	            NULL	            NULL	          268.20	          205.10
YBL089W	          379.00	          191.30	          433.30	          346.10	          325.80	            NULL
YBL090W	          171.00	            NULL	          335.20	          228.80	          313.70	          249.20
YBL091C	         4419.00	         3082.90	         2222.90	         2700.20	         3136.50	         1878.80
YBL091C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL092W	        12699.00	         9043.50	         9572.30	         4399.20	        11665.50	         6469.20
YBL093C	          892.00	          759.80	         1271.00	         1041.30	          991.70	          738.50
YBL094C	          390.00	          221.70	          431.00	          578.60	          483.60	            NULL
YBL095W	          380.00	          123.20	          397.30	          371.10	            NULL	          170.90
YBL096C	          762.00	          296.90	          615.10	          586.20	          424.40	          511.00
YBL097W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL098W	          140.00	          160.10	          362.00	          489.50	          254.50	            NULL
YBL099W	         2279.00	         1288.00	         2134.00	         2699.10	         3207.80	         2125.90
YBL100C	            NULL	           36.70	            NULL	            NULL	            NULL	            NULL
YBL101C	          295.00	            NULL	          374.30	          503.60	          574.60	            NULL
YBL101W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL101W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL102W	         1512.00	         1095.10	         1814.10	         2343.90	         2763.30	         1484.80
YBL103C	          345.00	          134.50	          555.30	          689.40	          877.90	          692.00
YBL104C	            NULL	            NULL	            NULL	          348.30	          568.50	          339.70
YBL105C	          160.00	           97.00	          136.50	          383.00	          280.30	          205.10
YBL106C	          217.00	          115.40	           72.80	           94.10	            NULL	          185.50
YBL107C	          106.00	            NULL	           37.50	            NULL	          316.70	            NULL
YBL108W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL109W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL111C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL112C	         1293.00	          544.30	          576.00	          951.20	          557.90	         1037.10
YBL113C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR001C	          229.00	          140.20	          464.80	         1360.70	          767.20	          457.10
YBR002C	          388.00	          114.00	          195.50	            NULL	            NULL	            NULL
YBR003W	          746.00	          273.50	          672.70	          807.80	          627.70	            NULL
YBR004C	          375.00	          307.50	          952.70	          679.60	          536.70	            NULL
YBR005W	          401.00	          228.10	         1152.90	          845.80	          542.70	          337.20
YBR006W	            NULL	            NULL	          678.00	          639.40	          342.50	          263.80
YBR007C	          167.00	            NULL	          209.40	          200.50	            NULL	            NULL
YBR008C	          601.00	          231.70	          331.30	          354.80	          321.30	          268.70
YBR009C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR010W	        29030.00	        21142.60	        23648.20	        29592.30	        25371.30	        32636.40
YBR011C	         8785.00	         6384.40	         5582.00	         3557.30	         4764.00	         1678.20
YBR012C	           53.00	           38.10	            NULL	           73.40	            NULL	            NULL
YBR012W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR012W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR013C	           86.00	            NULL	            NULL	           77.80	            NULL	            NULL
YBR014C	          434.00	          438.00	         1325.50	         1238.00	         1643.90	          611.30
YBR015C	          250.00	            NULL	          195.50	          188.60	          504.80	          202.70
YBR016W	         3884.00	         1836.70	         3865.20	         3994.00	         4248.30	         1592.50
YBR017C	          498.00	          291.20	          474.00	          371.10	          624.60	          236.90
YBR018C	            NULL	            NULL	           98.10	          107.10	            NULL	            NULL
YBR019C	           54.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBR020W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR021W	          340.00	          216.80	         1103.80	          579.70	          409.30	          875.60
YBR022W	          291.00	            NULL	          462.50	          725.20	          821.80	          726.30
YBR023C	          526.00	          257.90	          315.20	          472.10	          403.20	          432.70
YBR024W	          340.00	          221.00	         1165.90	         1614.90	         1040.20	          753.20
YBR025C	         3885.00	         2902.20	         3062.10	         2334.10	         2924.10	         3036.20
YBR026C	          121.00	          140.20	          363.50	          542.70	         1085.80	          662.70
YBR027C	            NULL	            NULL	           80.50	            NULL	            NULL	            NULL
YBR028C	          233.00	          113.30	          193.20	          119.10	            NULL	            NULL
YBR029C	          376.00	          234.50	          339.00	          368.90	          453.20	            NULL
YBR030W	          178.00	           55.90	           32.20	           63.60	            NULL	            NULL
YBR031W	          350.00	          136.00	          341.30	          142.90	          331.90	          166.00
YBR032W	           99.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBR033W	            NULL	            NULL	            NULL	           27.80	            NULL	            NULL
YBR034C	         3429.00	          983.10	          490.90	          598.10	         1290.50	          971.00
YBR035C	          766.00	         1046.20	         2113.20	         2064.70	         1704.60	         1137.40
YBR036C	          944.00	          552.10	         1338.50	         1409.60	         1084.20	          706.70
YBR037C	          633.00	          429.50	          946.50	          978.30	          697.40	          491.40
YBR038W	          406.00	          116.10	          145.70	          108.20	            NULL	            NULL
YBR039W	         1744.00	          872.50	         1576.30	         1861.50	         2601.00	         1477.50
YBR040W	            NULL	            NULL	           69.00	            NULL	            NULL	            NULL
YBR041W	          248.00	          128.20	          452.50	          399.30	          403.20	          295.70
YBR042C	          508.00	          279.90	          378.10	          340.70	          501.80	          440.00
YBR043C	          886.00	          488.30	          703.40	          692.60	          806.70	          574.60
YBR044C	          367.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBR045C	            NULL	            NULL	            NULL	           89.70	            NULL	            NULL
YBR046C	          370.00	          194.10	          497.00	          598.10	          656.50	          207.60
YBR047W	          159.00	          161.50	          670.40	          708.90	          879.50	          212.50
YBR048W	         7565.00	         6328.40	         5413.20	         3095.60	         9359.90	         5069.60
YBR049C	          164.00	            NULL	            NULL	           96.20	            NULL	            NULL
YBR050C	           62.00	          133.80	          310.60	          125.60	          171.10	            NULL
YBR051W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR052C	         1408.00	         2084.80	         4284.10	         3967.90	         3133.40	         1516.70
YBR053C	          838.00	         1222.00	         4667.60	         6087.40	         2598.00	         3503.50
YBR054W	          229.00	          160.10	         1138.30	         2430.80	         3248.70	         4245.00
YBR055C	          217.00	          103.40	          207.80	          307.00	          225.70	          200.20
YBR056W	          188.00	          225.30	         1030.90	         1461.80	         1204.10	          912.30
YBR057C	          167.00	           60.80	          285.30	          266.80	          334.90	          136.60
YBR058C	          516.00	          295.50	          576.00	          732.80	          482.10	          530.60
YBR059C	          360.00	          111.10	          332.10	          698.10	          847.60	          466.90
YBR060C	          156.00	            NULL	          222.40	            NULL	          206.00	            NULL
YBR061C	          869.00	          390.50	          345.10	          594.90	          732.30	          765.50
YBR062C	         2041.00	         1753.00	         2935.50	         5974.40	         6282.30	         3650.40
YBR063C	            NULL	           61.50	          347.40	          410.20	          339.50	            NULL
YBR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR065C	            NULL	            NULL	          101.20	           66.90	            NULL	            NULL
YBR066C	          396.00	          453.60	         1504.90	         1009.80	          809.70	         1142.30
YBR067C	        14326.00	         4659.60	         3241.60	         2718.60	         4055.70	         3038.60
YBR068C	         2254.00	         1340.40	         4150.60	         5106.40	         4776.10	         2757.20
YBR069C	         2535.00	         1275.20	          985.60	          899.00	         1295.10	         1592.50
YBR070C	          349.00	          279.90	          408.80	          302.60	          245.40	          366.60
YBR071W	          204.00	          117.50	          283.00	            NULL	          201.50	          295.70
YBR072W	          553.00	          566.30	         5690.10	         6735.90	         5348.00	         2720.50
YBR073W	          770.00	          562.00	         1027.10	          645.90	          706.60	          652.90
YBR074W	          158.00	          121.10	           92.00	          129.90	          155.90	          190.40
YBR075W	          317.00	          207.60	          194.80	          176.60	            NULL	          214.90
YBR076W	            NULL	            NULL	          100.40	          184.20	            NULL	            NULL
YBR077C	          528.00	          347.20	          599.80	          781.70	          647.40	          425.30
YBR078W	        20555.00	        11299.30	         5455.40	         3524.70	         8730.50	         6755.50
YBR079C	         3130.00	         1799.80	          898.20	          761.10	         1261.70	          408.20
YBR080C	          498.00	          308.90	          378.90	          386.30	          501.80	          258.90
YBR081C	          319.00	          221.70	          526.90	          313.50	          589.80	          298.10
YBR082C	         8419.00	         6831.70	         7089.30	         6720.70	         8612.10	         5698.40
YBR083W	         2645.00	         1215.60	          714.90	          499.30	         1096.40	         1056.60
YBR084C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR084W	         1440.00	         1288.00	          847.60	          300.50	          495.70	          437.60
YBR085W	          218.00	           53.70	            NULL	            NULL	            NULL	            NULL
YBR086C	         3719.00	         1434.70	         3864.50	         5649.60	         5132.60	         6278.30
YBR087W	          227.00	           90.60	          301.40	          288.50	          257.60	          210.00
YBR088C	         1357.00	          364.20	          829.20	          703.50	          513.90	          968.50
YBR089W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR090C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR091C	          133.00	          151.60	          269.20	          318.90	          263.60	          303.00
YBR092C	         8542.00	         3484.20	         2462.30	         1457.40	         2948.40	         4090.80
YBR093C	         3005.00	         2216.60	         1724.30	          921.80	          865.80	         1068.90
YBR094W	          211.00	          123.90	          233.10	          280.90	            NULL	          175.80
YBR095C	          452.00	          256.50	          614.40	          673.10	          422.90	          126.80
YBR096W	          617.00	          797.40	         1751.90	         1478.10	         2000.40	         1171.60
YBR097W	          222.00	          157.90	          348.20	          615.50	          388.00	          283.40
YBR098W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR099C	           83.00	           97.70	          615.10	          409.10	           68.00	            NULL
YBR100W	          109.00	            NULL	          146.50	            NULL	            NULL	            NULL
YBR101C	         2018.00	         2315.90	         7653.80	         3455.20	         1863.90	         1477.50
YBR102C	           47.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBR103W	          499.00	          360.70	          675.00	          795.80	          630.70	          408.20
YBR104W	          313.00	          211.10	           24.50	            NULL	            NULL	            NULL
YBR105C	          630.00	          192.00	          375.80	          500.40	          950.80	          476.70
YBR106W	         8052.00	         4653.20	         3342.10	         2991.30	         7963.00	         6757.90
YBR107C	          171.00	          128.90	          250.00	          212.50	            NULL	          200.20
YBR108W	            NULL	            NULL	          182.50	            NULL	            NULL	            NULL
YBR109C	         3535.00	         3027.60	         3217.10	         2740.40	         3794.80	         1572.90
YBR110W	          504.00	          496.10	         1027.80	          467.80	          535.20	            NULL
YBR111C	         2395.00	         2594.50	         3243.90	         2600.20	         3853.90	         2346.20
YBR112C	         1133.00	          175.70	          227.00	          216.80	          230.30	          202.70
YBR113W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR114W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR115C	          538.00	          326.00	          473.20	          307.00	          755.10	          491.40
YBR116C	            NULL	          148.00	         8893.40	        11678.70	         5305.50	         2172.40
YBR117C	            NULL	            NULL	         3375.10	         5588.70	         3485.30	         1252.40
YBR118W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR119W	            NULL	          130.30	          443.30	          708.90	            NULL	          190.40
YBR120C	          113.00	           42.40	          467.10	          403.70	          400.20	          462.00
YBR121C	         3359.00	         2346.40	         2347.20	         2060.30	         3257.80	         2123.50
YBR122C	          239.00	          314.60	          846.80	          858.80	          636.80	          581.90
YBR123C	          433.00	          287.00	          540.70	          540.50	          444.10	          376.40
YBR124W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR125C	          135.00	            NULL	            NULL	          380.90	          315.20	            NULL
YBR126C	         1718.00	         1376.60	         8553.60	        11924.20	         8443.80	         3408.10
YBR127C	         3987.00	         3466.50	         4241.10	         3618.10	         3814.50	         3858.30
YBR128C	            NULL	            NULL	          207.80	          167.90	            NULL	            NULL
YBR129C	           85.00	            NULL	          236.20	          234.20	            NULL	          393.50
YBR130C	         1350.00	          701.70	         1609.30	         1265.10	          808.20	          993.00
YBR131W	          162.00	          136.70	          383.50	          259.20	            NULL	            NULL
YBR132C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR133C	          451.00	          248.00	          258.40	          325.50	            NULL	            NULL
YBR134W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR135W	          861.00	          255.10	          484.00	          505.80	          406.20	          471.80
YBR136W	            NULL	           63.70	           65.90	            NULL	            NULL	            NULL
YBR137W	          424.00	          592.50	          532.30	          866.40	         1125.20	          701.80
YBR138C	            NULL	            NULL	           23.00	            NULL	            NULL	            NULL
YBR139W	          761.00	          564.10	         1353.80	         1934.30	         1772.90	          922.10
YBR140C	            NULL	           51.60	            NULL	           82.10	          165.10	            NULL
YBR141C	          450.00	           76.40	            NULL	            NULL	            NULL	          161.10
YBR142W	          726.00	          334.50	          166.40	           90.80	          271.20	            NULL
YBR143C	         2328.00	         1499.20	         1854.70	         1181.50	         3068.20	         1056.60
YBR144C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR145W	          614.00	          420.90	          886.70	          460.20	         1026.60	          540.30
YBR146W	          323.00	          109.70	          421.10	          165.80	          347.10	          342.10
