ORF	     Sorbitol 0m	    Sorbitol 15m	    Sorbitol 30m	    Sorbitol 45m	    Sorbitol 90m	   Sorbitol 120m
YAL001C	          174.00	          155.40	          273.30	          260.90	            NULL	          236.00
YAL002W	          333.00	            NULL	          583.30	          361.30	          422.30	          224.60
YAL003W	        15445.00	        10116.00	         6690.10	         8815.10	        13998.70	        14355.80
YAL004W	          202.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL005C	        29015.00	        25504.70	        34248.10	        32162.60	        22030.50	        20633.50
YAL007C	          627.00	          228.40	          251.20	          246.00	          463.00	          662.10
YAL008W	          219.00	            NULL	            NULL	            NULL	            NULL	          169.70
YAL009W	         1107.00	          893.10	         1033.50	          980.10	         1015.80	          979.30
YAL010C	            NULL	           90.80	            NULL	            NULL	          132.50	            NULL
YAL011W	           78.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL012W	         6592.00	         3490.40	         2714.20	         2220.30	         6161.30	         3518.00
YAL013W	         1035.00	          864.50	         1074.10	          700.50	          899.40	          840.40
YAL014C	          726.00	          255.10	          791.80	          551.30	          446.70	          435.10
YAL015C	          136.00	          269.00	          437.50	          113.00	            NULL	          141.70
YAL016W	         2563.00	         1629.00	         3160.70	         3461.90	         1809.60	         1255.00
YAL017W	          577.00	          325.30	         1153.40	          866.10	          397.80	          485.90
YAL018C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL019W	          295.00	            NULL	            NULL	          256.80	            NULL	          319.00
YAL020C	          373.00	           91.70	          548.20	          786.00	          276.80	          426.80
YAL021C	          966.00	          145.30	          651.60	          627.30	          586.40	          703.60
YAL022C	         1269.00	          585.70	          767.80	         1282.70	         1005.40	         1540.10
YAL023C	         7645.00	         3410.10	         3852.60	         6311.50	         5795.80	        10049.70
YAL024C	          135.00	            NULL	          164.50	            NULL	            NULL	          155.20
YAL025C	          475.00	          179.40	            NULL	          362.70	          394.30	          539.80
YAL026C	          445.00	          200.70	          308.40	          454.90	            NULL	          457.90
YAL027W	          274.00	            NULL	          441.20	          488.90	            NULL	          305.50
YAL028W	            NULL	          420.40	          758.60	          259.50	            NULL	          128.20
YAL029C	         1598.00	          773.10	         1308.40	         2019.50	         1679.20	         1713.20
YAL030W	         2287.00	         2240.20	         3516.80	         3949.10	         2222.80	         1731.90
YAL031C	          689.00	          418.60	          784.40	          851.20	          964.60	          878.70
YAL032C	          160.00	            NULL	          201.40	            NULL	          294.20	          321.00
YAL033W	          392.00	          162.80	          144.20	          279.90	            NULL	          447.50
YAL034C	          330.00	         1328.00	         1415.40	            NULL	            NULL	          311.70
YAL034W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL035C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL035W	         4268.00	          779.60	          985.50	         1301.70	         2687.10	         3138.60
YAL036C	         3941.00	          385.30	          409.90	            NULL	         2163.40	         2463.70
YAL037W	            NULL	          116.60	            NULL	            NULL	            NULL	            NULL
YAL038W	        20456.00	        16965.10	        19160.10	        15873.90	        20530.30	        19136.60
YAL039C	         1447.00	          883.00	         1481.80	          788.70	          779.60	          889.10
YAL040C	         1190.00	          518.30	          782.60	          370.80	          929.70	          675.60
YAL041W	          554.00	          488.70	          564.80	          410.20	          812.20	          649.70
YAL042W	         2843.00	         1269.90	         1649.70	         1269.10	         1836.40	         1794.10
YAL043C	          703.00	          442.60	          804.70	          366.70	          549.10	          358.40
YAL043C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL044C	         9837.00	         3242.90	         4195.70	         6079.50	         6256.70	         3801.00
YAL045C	            NULL	           89.90	            NULL	            NULL	            NULL	           98.20
YAL046C	          740.00	          211.70	          701.40	          414.20	          452.50	          345.90
YAL047C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL048C	            NULL	            NULL	          271.50	          231.00	            NULL	            NULL
YAL049C	         1651.00	          890.40	         1629.40	         1991.00	          733.00	         1263.30
YAL051W	          345.00	            NULL	          612.80	          526.80	          305.90	          321.00
YAL053W	         1429.00	         1124.90	         1278.80	         1645.00	         1318.40	         1783.70
YAL054C	          292.00	          239.40	          526.10	          346.40	            NULL	          243.30
YAL055W	          288.00	          286.50	          330.50	          526.80	            NULL	          208.10
YAL056W	          230.00	            NULL	          249.40	          251.40	            NULL	          263.00
YAL058C-A	          155.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL058W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL059W	         1513.00	          287.50	            NULL	         1005.80	         1233.50	         1342.10
YAL060W	          565.00	         1377.90	         1256.70	         1008.60	          497.90	          627.90
YAL061W	          169.00	         3433.10	         6516.70	         2012.70	          396.70	          838.30
YAL062W	          224.00	          236.70	          625.70	          533.60	            NULL	            NULL
YAL063C	            NULL	            NULL	          243.80	          361.30	            NULL	            NULL
YAL064C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL064W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL065C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL066W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL067C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL068C	          941.00	          606.00	          714.30	          543.10	         1223.00	         1379.40
YAL069W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR002C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR002W	         1075.00	          641.10	          889.60	         1296.20	         1098.50	         1117.20
YAR003W	          576.00	          671.60	          981.80	         1110.30	          688.80	          776.10
YAR007C	         1252.00	          684.50	         1503.90	         2331.60	         1181.10	         1351.40
YAR008W	          561.00	          294.80	            NULL	          714.10	          525.90	          727.40
YAR009C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR010C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR014C	         1049.00	          511.80	          765.90	         1345.10	          957.60	         1108.90
YAR015W	         2329.00	          531.20	         1007.60	         3603.00	         1507.00	         2242.90
YAR018C	            NULL	            NULL	            NULL	          168.60	            NULL	          199.80
YAR019C	            NULL	            NULL	            NULL	           85.80	            NULL	          141.70
YAR020C	         1304.00	         1101.80	          476.30	          662.50	         1034.50	         1624.10
YAR023C	            NULL	            NULL	            NULL	          125.20	            NULL	            NULL
YAR027W	            NULL	            NULL	            NULL	          103.50	            NULL	            NULL
YAR028W	          426.00	          284.70	            NULL	            NULL	          350.10	            NULL
YAR029W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR030C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR031W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR033W	           33.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAR035W	          306.00	            NULL	            NULL	            NULL	            NULL	          212.20
YAR042W	          186.00	          245.90	          249.40	          251.40	            NULL	            NULL
YAR044W	          135.00	            NULL	            NULL	          121.10	            NULL	            NULL
YAR047C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR050W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR053W	           75.00	           72.30	            NULL	            NULL	            NULL	            NULL
YAR060C	           55.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAR061W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR062W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR066W	          295.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAR068W	          668.00	            NULL	          594.40	          906.80	            NULL	          954.40
YAR069C	            NULL	            NULL	            NULL	           73.60	            NULL	            NULL
YAR070C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR071W	        12128.00	         4612.20	         1057.50	         2674.90	         9685.40	         5909.40
YAR073W	          496.00	          481.40	            NULL	          275.80	          253.50	          303.40
YAR075W	         2111.00	          998.40	          795.50	         1134.80	            NULL	            NULL
YBL001C	          883.00	          548.80	         1070.40	         2242.00	         1361.50	         1300.60
YBL002W	         4329.00	         2412.00	         5444.70	         5262.60	         7438.00	         5934.30
YBL003C	         4944.00	         2048.20	         4893.10	         5433.60	         6567.40	         5862.80
YBL004W	          179.00	            NULL	            NULL	            NULL	            NULL	          112.70
YBL005W	          864.00	          403.80	         1555.60	         1765.70	         1035.60	         1200.10
YBL005W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL005W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL006C	         1987.00	         1369.60	         3051.80	         4554.30	         2639.40	         2777.80
YBL007C	         1109.00	          740.80	         1592.50	         3126.80	         1342.90	         1707.00
YBL008W	            NULL	            NULL	            NULL	          308.40	            NULL	          250.60
YBL009W	          382.00	            NULL	            NULL	          351.80	          444.40	          347.00
YBL010C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL011W	          751.00	          713.10	          926.50	         1486.20	         1289.30	         1189.70
YBL012C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL013W	            NULL	          327.20	          238.30	            NULL	            NULL	            NULL
YBL014C	          351.00	          336.40	            NULL	          526.80	          506.10	          584.30
YBL015W	          456.00	          875.60	         1046.40	         1001.80	            NULL	          704.60
YBL016W	          321.00	          101.90	            NULL	          315.20	            NULL	          289.90
YBL017C	         2682.00	          612.50	         1671.80	         1651.80	         2459.00	         3225.60
YBL018C	          569.00	            NULL	            NULL	            NULL	          532.80	          539.80
YBL019W	           96.00	            NULL	            NULL	            NULL	            NULL	          192.50
YBL020W	          687.00	          336.40	          424.60	          650.30	          466.50	          717.00
YBL021C	          423.00	            NULL	          321.30	          311.10	          282.60	          405.00
YBL022C	         1480.00	         1086.10	         1243.80	         2227.10	         1062.40	         1587.80
YBL023C	          684.00	          118.50	            NULL	          431.90	          744.70	          992.80
YBL024W	          944.00	          102.80	            NULL	          419.60	         1205.50	          706.70
YBL025W	          149.00	            NULL	            NULL	            NULL	            NULL	          229.80
YBL026W	          702.00	            NULL	          437.50	          644.90	          613.10	          612.30
YBL027W	        13947.00	         4989.80	         3965.10	        10634.70	        10100.90	        12233.80
YBL028C	          580.00	            NULL	          151.60	          407.40	          584.00	          624.80
YBL029W	            NULL	            NULL	          245.70	            NULL	          468.80	            NULL
YBL030C	         3945.00	         1844.10	         2989.10	         4802.60	         4805.40	         5130.90
YBL031W	          136.00	           88.90	            NULL	            NULL	          244.20	          166.60
YBL032W	         1359.00	          414.00	          564.80	         1000.40	         1383.60	         1612.70
YBL033C	          919.00	          321.60	          902.50	         1106.30	          930.90	          956.50
YBL034C	          403.00	          173.90	          302.90	          608.30	          549.10	          331.40
YBL035C	          352.00	            NULL	            NULL	          621.80	          451.40	          632.00
YBL036C	          677.00	          321.60	          575.90	         1003.10	          612.00	          424.70
YBL037W	          115.00	            NULL	            NULL	          343.70	          222.10	          200.80
YBL038W	          277.00	          222.80	          572.20	          668.00	          410.60	          387.40
YBL039C	         4304.00	         1880.20	          544.60	         4607.20	         6150.80	         5179.70
YBL040C	          375.00	          226.50	          334.20	          914.90	          513.00	          699.40
YBL041W	          994.00	          864.50	         1908.00	         3303.20	         1155.50	         1162.80
YBL042C	          556.00	            NULL	          155.30	          845.70	         1418.50	          464.10
YBL043W	            NULL	           94.50	            NULL	            NULL	            NULL	            NULL
YBL044W	            NULL	            NULL	          142.40	            NULL	            NULL	            NULL
YBL045C	         1305.00	         1440.70	         2813.80	         2456.40	         2125.00	         2171.40
YBL046W	          809.00	          602.30	          771.50	         1168.70	         1153.20	         1133.80
YBL047C	         1110.00	          452.70	         1627.50	         2824.20	         1676.90	         1945.40
YBL048W	            NULL	            NULL	           98.10	            NULL	            NULL	            NULL
YBL049W	          150.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBL050W	         1141.00	          575.50	         1173.70	          990.90	          861.00	         1416.70
YBL051C	         1735.00	          652.20	            NULL	          653.00	          811.00	          854.90
YBL052C	          286.00	            NULL	            NULL	            NULL	          272.10	          319.00
YBL053W	          202.00	          175.70	            NULL	            NULL	            NULL	            NULL
YBL054W	          828.00	            NULL	            NULL	            NULL	          339.60	          323.10
YBL055C	          516.00	           98.20	            NULL	            NULL	          322.20	          389.50
YBL056W	          357.00	          119.40	          415.40	          433.20	          382.70	          360.40
YBL057C	          512.00	          184.00	          385.90	          593.30	          484.00	          473.40
YBL058W	         3789.00	         2869.00	         5673.50	         6946.60	         3018.80	         3882.80
YBL059W	            NULL	            NULL	            NULL	          149.60	            NULL	          126.20
YBL060W	          105.00	            NULL	            NULL	          157.80	            NULL	            NULL
YBL061C	          472.00	            NULL	            NULL	            NULL	          236.00	          235.00
YBL062W	          310.00	            NULL	            NULL	          263.60	            NULL	            NULL
YBL063W	          228.00	            NULL	            NULL	            NULL	          404.80	            NULL
YBL064C	          335.00	          773.10	         2382.10	         2487.60	          678.30	          911.90
YBL065W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL066C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL067C	          112.00	          132.30	            NULL	          236.50	          196.50	           99.20
YBL068W	          857.00	          169.30	          343.50	         1171.40	          838.90	         1089.20
YBL069W	          246.00	            NULL	            NULL	          642.20	            NULL	          361.50
YBL070C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL071C	          101.00	            NULL	            NULL	          240.50	          139.40	          137.60
YBL072C	        16784.00	        14373.30	        11951.90	        24726.60	        20152.00	        18629.70
YBL073W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL074C	            NULL	           50.20	            NULL	            NULL	            NULL	            NULL
YBL075C	            NULL	            NULL	          308.40	          330.10	            NULL	            NULL
YBL076C	         1105.00	          582.00	          585.10	         1460.40	         1288.20	         1414.70
YBL077W	          188.00	           85.30	            NULL	          475.30	          279.10	          218.40
YBL078C	          373.00	          501.70	         2385.80	         3038.60	          863.40	          882.90
YBL079W	          152.00	          114.80	          197.70	          335.50	          371.10	          356.30
YBL080C	            NULL	            NULL	            NULL	          136.00	            NULL	            NULL
YBL081W	         1008.00	          362.20	          686.60	         1345.10	         1851.50	         1275.80
YBL082C	         1426.00	          801.70	          740.10	         1427.90	         2182.00	         1867.70
YBL083C	            NULL	            NULL	          350.80	            NULL	            NULL	            NULL
YBL084C	          647.00	            NULL	          444.90	          309.70	          632.90	          639.30
YBL085W	          911.00	          283.80	          408.00	          536.30	          665.50	         1087.10
YBL086C	          180.00	          304.10	          727.20	          157.80	          225.60	          257.80
YBL087C	        17064.00	         8091.20	         5631.10	        12215.60	        12461.20	        16020.60
YBL088C	          138.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBL089W	          379.00	          149.90	          356.40	          425.10	          326.80	          456.80
YBL090W	          171.00	            NULL	            NULL	            NULL	          240.70	            NULL
YBL091C	         4419.00	         2616.00	         2869.20	         5352.10	         4536.50	         5648.20
YBL091C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL092W	        12699.00	         6679.50	         3895.00	        15584.90	        12715.00	        12560.30
YBL093C	          892.00	          474.90	         1077.70	         1353.20	          979.80	         1161.70
YBL094C	          390.00	          253.30	          599.90	          714.10	          757.50	          654.80
YBL095W	          380.00	            NULL	          164.50	          391.20	          309.40	          243.30
YBL096C	          762.00	          405.60	          581.50	          999.10	          923.90	          788.60
YBL097W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL098W	          140.00	           62.20	            NULL	          183.50	            NULL	          103.40
YBL099W	         2279.00	         1147.10	         2024.20	         3689.90	         2788.40	         3208.00
YBL100C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL101C	          295.00	          136.00	          504.00	          715.50	          336.10	          407.10
YBL101W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL101W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL102W	         1512.00	          388.10	         1168.10	         2615.20	         1568.70	         1625.10
YBL103C	          345.00	          135.10	          548.20	          845.70	          509.60	          587.50
YBL104C	            NULL	            NULL	          258.60	          617.80	          293.10	          383.20
YBL105C	          160.00	            NULL	            NULL	          486.10	            NULL	          408.10
YBL106C	          217.00	            NULL	          159.00	          281.20	          288.40	          217.40
YBL107C	          106.00	            NULL	            NULL	          296.20	            NULL	          182.10
YBL108W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL109W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL111C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL112C	         1293.00	          667.90	         1561.10	         1771.20	         1299.80	         1269.50
YBL113C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR001C	          229.00	            NULL	          784.40	         1172.80	          831.90	          487.90
YBR002C	          388.00	            NULL	          168.20	          259.50	          231.40	          285.80
YBR003W	          746.00	          341.90	         1011.30	         1122.50	          738.80	          913.00
YBR004C	          375.00	          291.20	          467.10	          366.70	          293.10	          338.70
YBR005W	          401.00	          487.80	          461.50	          320.60	            NULL	          268.20
YBR006W	            NULL	            NULL	          308.40	          419.60	            NULL	          138.60
YBR007C	          167.00	            NULL	            NULL	          244.60	            NULL	          193.50
YBR008C	          601.00	          248.70	          526.10	          647.60	            NULL	          660.00
YBR009C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR010W	        29030.00	        20202.10	        31240.80	        28363.20	        31264.60	        28261.90
YBR011C	         8785.00	         5060.90	         5014.90	         6357.60	         6525.50	         7407.30
YBR012C	           53.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBR012W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR012W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR013C	           86.00	            NULL	            NULL	          126.50	            NULL	          104.40
YBR014C	          434.00	            NULL	          996.60	          701.90	            NULL	          713.90
YBR015C	          250.00	          108.30	          308.40	            NULL	          219.80	          323.10
YBR016W	         3884.00	         2201.50	         3446.70	         3482.30	         2517.20	         3114.70
YBR017C	          498.00	            NULL	            NULL	          353.20	          309.40	          563.60
YBR018C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR019C	           54.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBR020W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR021W	          340.00	          605.10	          385.90	         1007.20	         1115.90	          427.80
YBR022W	          291.00	            NULL	          522.40	          725.00	            NULL	          367.70
YBR023C	          526.00	          176.70	          280.70	          661.20	          756.30	          732.60
YBR024W	          340.00	          257.00	          802.80	          993.60	          508.40	          476.50
YBR025C	         3885.00	         2600.30	         2384.00	         5008.80	         5009.00	         5405.60
YBR026C	          121.00	          163.70	          804.70	         1117.10	          283.80	          305.50
YBR027C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR028C	          233.00	            NULL	            NULL	          301.60	            NULL	            NULL
YBR029C	          376.00	            NULL	          380.40	          691.00	          477.00	          697.30
YBR030W	          178.00	            NULL	            NULL	          450.90	            NULL	          231.90
YBR031W	          350.00	          299.50	          273.30	          682.90	          204.60	          564.60
YBR032W	           99.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBR033W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR034C	         3429.00	          546.90	          472.60	         2332.90	         2462.50	         2253.30
YBR035C	          766.00	          426.00	          963.40	         1655.80	          630.60	          872.50
YBR036C	          944.00	          433.30	         1002.10	         1320.70	          850.60	         1099.50
YBR037C	          633.00	         1134.10	         1564.80	         1689.70	         1205.50	         1247.80
YBR038W	          406.00	          236.70	          199.50	          370.80	          442.10	          427.80
YBR039W	         1744.00	          321.60	         1018.70	         2162.00	         1189.30	         2237.70
YBR040W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR041W	          248.00	           52.90	          312.10	          248.70	            NULL	          299.30
YBR042C	          508.00	          156.40	          236.40	          366.70	          338.50	          501.40
YBR043C	          886.00	          336.40	          756.70	         1099.50	          977.40	          994.80
YBR044C	          367.00	            NULL	          498.40	            NULL	            NULL	            NULL
YBR045C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR046C	          370.00	          224.70	          631.30	          627.30	          243.00	          382.20
YBR047W	          159.00	          246.80	          723.50	          479.40	            NULL	          174.90
YBR048W	         7565.00	         5626.90	         5773.10	        10930.50	         6605.90	         6270.20
YBR049C	          164.00	            NULL	          160.80	            NULL	            NULL	          199.80
YBR050C	           62.00	          249.60	            NULL	            NULL	            NULL	          223.60
YBR051W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR052C	         1408.00	         1193.20	         2026.00	         1859.40	         1178.80	         1704.90
YBR053C	          838.00	         1675.20	         3018.60	         4086.10	            NULL	         1470.60
YBR054W	          229.00	          281.90	         1125.70	         4539.30	         1539.60	         2291.60
YBR055C	          217.00	          126.80	          210.60	          395.20	            NULL	          249.50
YBR056W	          188.00	          275.50	          457.80	         1171.40	            NULL	          401.90
YBR057C	          167.00	           56.60	          382.20	          393.90	          257.00	          337.60
YBR058C	          516.00	          213.60	          417.30	          902.70	            NULL	          732.60
YBR059C	          360.00	          277.30	         1173.70	         1607.00	          622.50	          783.40
YBR060C	          156.00	            NULL	          242.00	          551.30	            NULL	          434.00
YBR061C	          869.00	          284.70	          404.30	         1149.70	         1334.70	         1070.50
YBR062C	         2041.00	         1301.20	         3251.10	         6919.40	         2112.20	         2028.30
YBR063C	            NULL	            NULL	          325.00	          335.50	            NULL	          226.70
YBR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR065C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR066C	          396.00	          415.80	          647.90	          525.50	          696.90	          689.00
YBR067C	        14326.00	         8936.90	         5738.10	        10108.20	        13570.40	        13667.40
YBR068C	         2254.00	         1521.90	         3074.00	         4149.90	         2391.50	         2383.90
YBR069C	         2535.00	          862.70	          939.40	         2206.70	         2886.20	         2928.10
YBR070C	          349.00	          215.40	            NULL	          354.50	          495.60	          482.80
YBR071W	          204.00	          126.80	            NULL	          232.40	          277.90	          327.30
YBR072W	          553.00	          751.00	         3407.90	         5656.10	          563.10	          918.10
YBR073W	          770.00	          196.10	          354.50	          655.80	          649.20	          785.40
YBR074W	          158.00	           57.60	            NULL	          157.80	            NULL	          174.90
YBR075W	          317.00	            NULL	            NULL	            NULL	            NULL	          400.90
YBR076W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR077C	          528.00	          296.70	          664.50	         1008.60	          852.90	          875.60
YBR078W	        20555.00	         8791.10	         4441.10	        11301.00	        21694.10	        20747.50
YBR079C	         3130.00	         1300.30	         1122.00	         1981.50	         2757.00	         3276.40
YBR080C	          498.00	            NULL	            NULL	          459.00	          339.60	          559.50
YBR081C	          319.00	            NULL	          262.30	          165.90	          259.30	          373.90
YBR082C	         8419.00	         6572.40	         6618.10	         8185.40	         9226.90	         9586.30
YBR083W	         2645.00	          967.90	          956.00	         1003.10	         2076.10	         2723.90
YBR084C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR084W	         1440.00	          522.90	          345.30	          597.40	         1227.70	         1320.30
YBR085W	          218.00	            NULL	            NULL	            NULL	            NULL	          214.30
YBR086C	         3719.00	         2832.10	         5948.40	         6202.90	         7646.30	         7358.60
YBR087W	          227.00	           89.90	          168.20	          190.30	          252.30	          317.90
YBR088C	         1357.00	          541.40	          620.20	         1493.00	         1965.50	         2124.80
YBR089W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR090C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR091C	          133.00	            NULL	          159.00	          275.80	          179.00	            NULL
YBR092C	         8542.00	         3166.30	         1780.70	         6014.30	        13601.80	        12475.30
YBR093C	         3005.00	         1486.80	          915.40	         1227.00	         3014.20	         1652.10
YBR094W	          211.00	            NULL	            NULL	          364.00	            NULL	          341.80
YBR095C	          452.00	          264.40	          664.50	          718.20	          367.60	          688.00
YBR096W	          617.00	          347.50	          734.60	         1346.40	          666.70	          833.10
YBR097W	          222.00	           56.60	          376.70	          438.60	            NULL	          278.50
YBR098W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR099C	           83.00	            NULL	          236.40	            NULL	            NULL	            NULL
YBR100W	          109.00	            NULL	            NULL	            NULL	            NULL	            NULL
YBR101C	         2018.00	         1011.30	         1778.80	         3696.70	          911.10	         1715.30
YBR102C	           47.00	            NULL	          133.10	            NULL	            NULL	           57.70
YBR103W	          499.00	          149.90	          395.10	          594.70	          584.00	          708.70
YBR104W	          313.00	            NULL	            NULL	            NULL	            NULL	          245.40
YBR105C	          630.00	          277.30	          511.30	         1038.40	          792.40	          737.80
YBR106W	         8052.00	         2572.60	         2895.00	         6449.90	         6665.20	         6937.70
YBR107C	          171.00	           99.10	            NULL	          258.20	            NULL	          146.90
YBR108W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR109C	         3535.00	         2008.50	         2538.90	         3000.60	         2386.90	         3238.10
YBR110W	          504.00	          234.80	          373.00	            NULL	          218.60	          495.20
YBR111C	         2395.00	          864.50	         1651.50	         1782.00	         1739.80	         2411.90
YBR112C	         1133.00	          309.60	            NULL	          544.50	         1133.40	         1237.40
YBR113W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR114W	            NULL	            NULL	            NULL	            NULL	            NULL	          135.50
YBR115C	          538.00	          239.40	          308.40	          658.50	            NULL	          833.10
YBR116C	            NULL	         4744.20	         8463.10	        14978.30	          649.20	            NULL
YBR117C	            NULL	         1444.40	         5671.70	         6577.50	            NULL	          371.80
YBR118W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR119W	            NULL	            NULL	          452.30	          351.80	            NULL	          173.80
YBR120C	          113.00	            NULL	            NULL	          315.20	            NULL	          256.80
YBR121C	         3359.00	         2015.00	         1972.50	         4509.50	         5147.50	         3689.00
YBR122C	          239.00	          247.80	          373.00	          826.70	          342.00	          406.00
YBR123C	          433.00	          295.80	          548.20	          780.60	          655.00	          597.80
YBR124W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR125C	          135.00	            NULL	          278.90	          324.70	          202.30	            NULL
YBR126C	         1718.00	         8235.20	        17411.10	        16785.80	         2563.80	         4868.70
YBR127C	         3987.00	         2644.60	         3479.90	         5246.30	         4549.30	         5670.00
YBR128C	            NULL	            NULL	            NULL	          102.10	            NULL	            NULL
YBR129C	           85.00	            NULL	            NULL	          183.50	            NULL	           85.70
YBR130C	         1350.00	         1093.50	         1703.20	         2394.00	         2397.30	         2360.10
YBR131W	          162.00	          134.20	            NULL	            NULL	          193.00	          257.80
YBR132C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR133C	          451.00	            NULL	          277.00	          521.40	          437.40	          422.60
YBR134W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR135W	          861.00	          346.60	          646.00	          879.70	          515.40	          814.50
YBR136W	            NULL	            NULL	            NULL	            NULL	            NULL	          109.60
YBR137W	          424.00	          124.00	          439.40	          688.30	          387.40	          472.40
YBR138C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR139W	          761.00	            NULL	         1112.80	         1076.40	          477.00	         1352.50
YBR140C	            NULL	            NULL	            NULL	          195.80	            NULL	          119.90
YBR141C	          450.00	            NULL	            NULL	          372.20	          426.90	          542.90
YBR142W	          726.00	            NULL	            NULL	          246.00	          239.50	          395.70
YBR143C	         2328.00	          736.20	         1027.90	         1453.60	         1916.70	         2654.50
YBR144C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR145W	          614.00	          401.00	          413.60	            NULL	          266.30	          472.40
