ORF	     Sorbitol 0m	    Sorbitol 15m	    Sorbitol 30m	    Sorbitol 45m	    Sorbitol 90m	   Sorbitol 120m
YKL182W	         5240.00	         2087.90	         2354.50	         3635.60	         5544.40	         4801.30
YKL183W	          426.00	            NULL	            NULL	          288.00	            NULL	            NULL
YKL184W	          621.00	          261.60	          371.10	          540.40	          390.80	          398.80
YKL185W	         1935.00	            NULL	          518.70	          729.00	          987.90	         1440.60
YKL186C	          874.00	          335.50	          474.40	          539.10	          485.10	          550.10
YKL187C	            NULL	            NULL	            NULL	          148.30	            NULL	            NULL
YKL188C	          113.00	          254.20	            NULL	          277.20	            NULL	            NULL
YKL189W	          141.00	          432.40	         1206.90	          539.10	            NULL	          204.90
YKL190W	          682.00	          407.50	         1171.80	         1465.90	          636.40	          867.30
YKL191W	         1972.00	         1389.00	          686.60	         2479.50	         1682.70	         1438.50
YKL192C	         5900.00	         4730.40	         6110.80	         8922.30	         5684.10	         6202.80
YKL193C	          258.00	          487.80	         1574.00	          879.70	            NULL	          653.80
YKL194C	          152.00	          244.10	          382.20	          332.80	          211.60	          253.70
YKL195W	          513.00	          361.30	          869.30	          946.10	          232.60	          418.50
YKL196C	         4699.00	         2384.30	         3871.00	         6952.00	         3257.40	         3531.40
YKL197C	          233.00	            NULL	            NULL	          403.40	            NULL	          304.50
YKL198C	          537.00	          401.90	          563.00	          635.40	          581.70	          574.00
YKL199C	          276.00	          201.60	          441.20	          321.90	            NULL	            NULL
YKL201C	          163.00	          239.40	            NULL	          312.50	          250.00	          304.50
YKL202W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YKL203C	          142.00	            NULL	          249.40	          171.30	          355.90	          211.20
YKL204W	         1655.00	          883.90	         1860.00	         2045.30	         2077.30	         1987.90
YKL205W	          398.00	            NULL	            NULL	          429.10	          490.90	          547.00
